,Unnamed: 0,tweet,toxicity,toxicity_val
4939,4929,Congratulations to @Kaizer_Chiefs ❤️🏆,0,0.026332628
4893,7735,@SuicidalPersona Well that sounds interesting,0,0.06332264
4936,4958,"Have you noticed a purple or black patch under your nail lately? Watch out, this blotch can be a sign of more serious nail fungal infection.",0,0.21215567
4935,4957,RT @DennisCanavan: #Indyref Many thanks to all who helped in best grassroots campaign in Scotland's history #Yesscotland We'll build on 45%…,0,0.028552495
4934,4956,RT @mylesmunroe: 14 hours of flying from Johannesburg South Africa to Hong Kong on our way to Indonesia. Thanks for you prayers. #mylesmunr…,0,0.03978123
4933,4955,"#LetMeWork AVAILABLE NOW | #LinkInBIO AND HARD COPIES ON DECK!!  REPOST FROM nawfside_lee:   ""Y'all… http://t.co/8Vx3gdnKQF",0,0.05620203
4932,4954,"RT @KimKierkegaard: I stood there alone and forsaken. I took some selfies, too.",0,0.069708854
4931,4952,@tishcyrus @MileyCyrus nice people; nice picture.,0,0.042130157
4930,4951,“@GirlNotes: when your friend's mom says they should be more like you http://t.co/RZyNNZ4Pgb” @megxhapney quill,0,0.08974287
4929,4950,"I could have a ""beautiful mind"" too. It just may take a few beers. #movies #comedy #fun",0,0.15416507
4928,4949,#thumb's up!! :D http://t.co/3nW4zbgtPe,0,0.09346261
4927,4917,RT @KevinScarbinsky: Who gets more playing time the rest of the day - Kenyan Drake or Jameis Winston?,0,0.067911126
4926,4916,@Victoria_Guepe @GirIsWant thank u,0,0.035115987
4925,4915,Idk what to do today,0,0.24547778
4924,4914,@BenKuchera I don't suppose there's a live stream of this?,0,0.04262887
4849,4864,“@notesforgirlz: me when I get my own house 💁 http://t.co/4MXxI94Sqj” I do this now,0,0.060654793
4863,4848,💢 HEEEY LUKE 👅 ⚠ Follow me ? Please 🙏 👉 Realizes my dream 💭  😭 Do not ignore me 😭  ❤ I love you so much ❤  👑 @luke_brooks ✖57,0,0.041904915
4862,4879,"Dropping off old electronics, cords, remotes etc for recycling. Thanks Best Buy — at Best Buy http://t.co/vc76OJrGqr",0,0.113898136
4861,4878,Nice to see @Melvingordon25 making up for some lost time. 230+ yards and 5 TDs? Nasty.,0,0.23168984
4860,4877,@elliottoconnor SESH,0,0.12317728
4859,4876,RT @MaxGeorge: Amazing team! Love you all!! Thanks for an awesome last 2 days! Xx http://t.co/sWJ3c03lix,0,0.019882929
4858,4875,@JaiBrooks1  Just followed @ShopDirtyPig Sooo I think you owe me something now lol,0,0.08532492
4857,4874,RT @camilacabello97: he bit my nose seconds after TRAVIESO http://t.co/6Ebm1tyhmQ,0,0.35445666
4856,4873,Allahhumma bismika amooto Wa'ahya °°  Keep calm     And Serve parents well.  Good night http://t.co/EOUuBwUTkE,0,0.106671765
4855,4872,@Michael5SOS @Luke5SOS  you go mikey👏,0,0.04984151
4854,4871,RT @yayarawdriguez_: Thankful that I woke up today.,0,0.03503744
4853,4869,You know it's gonna be ok ❤❤ ♫ All Around the World by Oasis — https://t.co/og6itCvXPs,0,0.022590723
4852,4868,CANT STOP BUYING CLOTHES,0,0.20346005
4851,4867,RT @whufc_official: 95: That's it! West Ham have won 3-1 against Liverpool! #WHULIV,0,0.059480786
4850,4865,ok what i NEED to do is bottle everything back up and do something cute and random and funny to distract me   yeah,0,0.2664208
4864,7739,Not only would student morale and enrollment AND attendance at games drop but alumni relations would be negatively affected @DrDebTU,0,0.10743314
4848,4895,I don't drink soda,0,0.29642886
4847,4834,"I just flew 1,946m in a totally crazy game of #JetpackJoyride on Android. Any challengers?",0,0.16582555
4846,4832,Rom. 15:33 Now the God of peace be with you all. Amen.,0,0.06625645
4845,4863,Can it be the 4th yet? ✌ @cassiiexo,0,0.035593476
4844,4861,Liver has failed #Liverpool,0,0.15725997
4843,4860,dayummm,0,0.29856896
4842,4859,What about the banana hotdog ?,0,0.26288167
4841,4858,PERRIE IS SO BEAYTIFUL I'M ACTUAKLY CRYINGNF http://t.co/SnjfJgI367,0,0.34043947
4840,4857,"RT @GeminiTerms: ##GeminiPeople - #Gemini men can be loud, boisterous one moment then appear quiet and sullen the next.",0,0.17986292
4839,4856,"I hear your voice, i fall in love💘",0,0.08537671
4838,4855,#BeamerBall. That had been coming GaTech damn near got two of the three previous attempts.,0,0.14912373
4837,4854,that dog is so playful,0,0.3235457
4836,4853,"""Run your fingers through my soul. For once, just once, feel what I feel, believe what I believe and… http://t.co/FaO7k7hYVH",0,0.092143424
4878,4893,@Skatch_miniVan I would wear them.,0,0.057515107
4892,7734,RT @Laura_Halford: Steph is teaching me Russian 😝🇬🇧➡️🇷🇺 http://t.co/CaN089EDlo,0,0.061761603
4891,7733,RT @justinbieber: @john @JeremyBieber @LilZa good times,0,0.05413383
4890,4884,Hey @TheDalyPlanet getting real world 45+ mpg around town with @Ford Fusion Energi...have not plugged in..but still stout mileage...,0,0.0676863
4889,4883,wide awake. a.l.o.n.e.,0,0.15310527
4888,4882,@patylovee1234 when your BEST FRIEND doesn't know you... I don't eat donuts lol but it's okay I'll take a bite 😂😂😂💞,0,0.09065192
4887,4881,“@TrapicalGod: don't let anyone make you change the way you want to live your life”,0,0.047757838
4886,4880,"@GraemeHolroyd he shouldn't of bin on the pitch today, or in the squad, not two games a week at his stage, that's 'getting managed wrong'",0,0.16000274
4884,4910,@empire_islam Is there a new fatwa that dancing in an Islamic club is halal ya sheikh? http://t.co/PHTyC4OEBn,0,0.18904972
4883,4909,@Dee_McDaniell Don't sweat Broken Hearts. Move on and find new wonders in life. Why do women stay in one place,0,0.119599395
4882,4908,@Allison_Aviles_ @YourAverageGoal get hyped from a 2004 minivan,0,0.122578256
4881,4906,RT @SashaaMalik: ffs man cheryl's reaction to this woman tho 👏😂,0,0.31644678
4880,4905,"@TheMooseTetrino Yeah, probably smart to do so - I should be so wise.",0,0.24819545
4879,4894,"RT @PTIofficial: I am extremely pleased with the fact that we are building 350 small dams in KP, tariff of power from such dams will be Rs …",0,0.069722086
4953,4974,No one understands how much I love the video for black or white,0,0.088911794
4877,4891,@HassanOmarH Pleading with you to liase with Governor Joho on an intiative for KENYA to honour Prof. Ali A.Mazrui.,0,0.08078088
4876,4889,RT @onedirection: Wonder if he'll show the Sun Bowl Stadium a bit of his fancy footwork tonight? http://t.co/7OwWQ0XLU7 #WWATour,0,0.07193857
4875,4887,"@ScotBrit2014 #the45 ""Being the change"" they want to see by praising politicians who do well, instead of criticising others Cc @JohannLamont",0,0.051635776
4874,4886,RT @onedirection: 1D are performing tonight at the @IHeartRadio Festival. Get ready Vegas.,0,0.03586676
4873,4885,but even if the stars & moon collide i never want u back into my life✨,0,0.091117136
4872,7716,I'd love to win a chocolate bundle from @thorntonschocs in this @BristolBites competition! http://t.co/3Dwm6vI5Y0,0,0.040557805
4871,7715,RT @iMore: Do not update: iOS 8.0.1 cripples iPhone 6 and 6 Plus by killing Touch ID and cell service http://t.co/7cQxWvAzNA http://t.co/TA…,0,0.16532181
4870,7714,"@Martiniworld where you see me at, thank you 😁",0,0.026802758
4869,7713,A tip of the cap to the Wolves: Northern enrollment increase surpasses other state universities http://t.co/bESxpp1DiN via @AberdeenNews,0,0.056987774
4868,7712,@Doc_claras_son Sure...*she grinned eyes shining bright*..Although you're strictly..human anyway..it shouldnt be too bad,0,0.09131909
4867,7743,RT @94ftmichael: SAM PEPPER LOOKS LIKE KEVIN THE SEA CUCUMBER FROM SPONGEBOB http://t.co/zQEi4XPg7b,0,0.25662285
4866,7742,@_FabDLSass @BrooklynBiscuit foh aint no yall,0,0.17626107
4865,7740,Iggy Got Some Cake Tho! 😋,0,0.21891564
5026,5052,"At Unknown Pizza Restaurant, flower mound high school is walking through the door each minute, requesting back up.",0,0.14516848
5041,5066,"RT @macygleisner: what can i do, to make you stay?",0,0.030102348
5040,5065,"RT @katyperry: FYI to all new IPHONE 6 buyers, there will also be a free selfie of me already in ur photo roll 💁",0,0.045155764
5039,5034,“@Bad_Bentley: http://t.co/97EcTBoqjz get my personal videos.... 💙 http://t.co/LehwCZirLg”,0,0.09938181
5038,5033,I want global equalityand a toaster that makes toast instantly,0,0.11461104
5037,5032,"RT @Ashton5SOS: A lady just laughed at how fast I drank milkshake :,(... I like dairy ok",0,0.2119337
5036,5031,RT @ABGBali: @_JuicyJai and retweet 👌,0,0.04869678
5035,5030,About to leave off Berkshire and E.Warren #NikkiTweet,0,0.09822925
5033,5028,"@lenadunham @RandomHouseCA Yes, we have lots of ketchup chips. :) We even have EXTREME ones.",0,0.122217
5032,5027,@TonyReiss @heyitskylie13 @JasonMoniaci my bad forgot to tag you too,0,0.10804406
5031,5026,Mizzou just went silent,0,0.26090184
5030,5025,@kindaspecialk @laDEEda51 oh that's reason enough. The booze I mean.,0,0.28494167
5029,5055,Final discussion for #hagiotheca2014. Thanks for this year's conference!,0,0.046600908
5028,5054,RT @docandrewmurray: regular physical activity helps prevents and treats over 40 diseases. here are a few and by how much (via @NHS_HS ) ht…,0,0.0742495
5027,5053,Is it libra season yet or what?,0,0.19793671
5042,5067,@xo_myliaj Singing,0,0.06719735
5024,5050,@camerondallas YOU SHOULD WATCH CAMS NEW VIDEO #SkyDiving http://t.co/P3BoOAIb5S DONT FORGET TO LIKE AND SUBSCRIBE 😍🙌 x42,0,0.036492694
5023,5020,Huge INT for Bama,0,0.21597092
5022,5019,#Unocoin #Bitcoin rates: Buy @ 26847 INR | Sell @ 25727 INR #India #Bitcoins #IndiaBitcoin,0,0.10659687
5021,5018,I wish I was w my bestfriend 24/7 but she has better things to do /:,0,0.13096252
5020,5016,RT @ABC7Darsha: Show me your iPhones! In line waiting for the new #iPhone6 #mapit @ABC7 http://t.co/FHmFemTTl2,0,0.047678832
5019,5015,RT @_FeeZus: Lil @tapscottboy3 don'tlikenobody lil Ty don't like nobody aye- @CTU_lip 🎶 kill swea u my brava LIL Lip,0,0.33085462
5018,5014,Fun is always at its best when it comes with instructions. #notfun #thataintright http://t.co/4hWbsW6TEc,0,0.10147618
5017,5013,"I'm planting a bunch more alliums this fall, both giant and smallish. Love them. http://t.co/njKR8H9CMf",0,0.10024229
5016,5012,"#TampaBay RT ""#Gators It's time for ""We Are The Boys"". (audio) #ItsGreatUF #UFvsBAMA http://t.co/CuiIMqITYH "" #SportsRoadhouse",0,0.061176404
5015,5011,Happy birthday to mah boy @Phillips 😘😘😘❤️🎁🎈,0,0.035156008
5014,5010,RT @jdgreear: Clemson FCA last night. An entirely student led movement. Amazing. http://t.co/L3RlcUTIG7,0,0.032744378
5013,5009,[2014-09-21T00:21:46] iPad bluetooth #CONTROLLER #ALARM,0,0.10451869
5012,5008,RT @ZodiacFacts: #Aquarius understand things on a deeper level that most people can't even imagine.,0,0.076755635
5056,5079,“@2017SeniorProbs: October through December are the best months of the year 🎃🏈🍂⛄🎄🎅🎁”,0,0.034770522
5070,5062,A little girl is counting my hair cx,0,0.15976143
5069,5061,@ewofford77 HAHAHAHA YOURE GOING?!,0,0.04825452
5068,5060,@kaybar007 well a lady knows what she wants....,0,0.08228523
5067,5059,RT @SCornbluth: @AdoptionNow #adoptiveparent Have you check out my new book Yet? I wrote it for you!http://t.co/K1tBxOKusN http://t.co/3gjl…,0,0.027497608
5066,5058,LSU Down 14 @ The Crib To Miss St. Though..........,0,0.14229435
5065,5057,RT @HoosierFootball: Okay now it's official....  HOOSIERS WIN!!!!!!!!!!!!!!!,0,0.14156796
5064,5056,"""can I have a coke and a water pls?""  -sure  ""ok good, I'm mixing those together so I get wasted""",0,0.29933685
5063,5087,021....  I'm comin',0,0.14450023
5062,5086,EVERYONE GO WATCH THIS VIDEO BY MY BOYFRIEND @camerondallas  http://t.co/eHOvxzzNUS #SkyDiving 183,0,0.072832316
5061,5085,"RT @HerbHiDro: ""Overtime"" will be played on City Takers Radio, Victory 91.5 fm @ 9 tonight. People can listen on the radio or download the …",0,0.059220295
5060,5084,@SayYesToCondoms aight,0,0.08964759
5058,5081,Good game,0,0.16906187
5057,5080,"👇 @Adrienne_Bailon 👉👉👉"" beautiful photo of you!! My birthday is tommorrow""👈👈👈 👆",0,0.03977758
5011,5039,Happy anniv chibi :* ♥♥♥ @iswarahapsarii @SalsblaRS @novalita_dias @RismTirtir @dwiiips http://t.co/jjXhSAFmum,0,0.047730647
5055,5049,"@AllyBrooke I'm so excited to give you a koala hug🐨!! I love you so much, princess! @WeLuvAllyB 🌸🌸 http://t.co/tjlwLD8vTK x32",0,0.039358005
5054,5048,@camerondallas  NEW VIDEO 😍🎉🎉 #SkyDiving GO GO CHECK OUT  😏😏#SkyDiving http://t.co/lNul3sQNzP amazing🌸🌸 LOVE U CAM  💕follow me pls bae 253,0,0.027805587
5053,5047,RT @ImranKhanPTI: A little quiet time inside the Azadi Bus - preparing for the Karachi jalsa. http://t.co/EcsOrOWEIq,0,0.049386144
5052,5046,"""How Liberia lost its handshake"" http://t.co/J719iSEHyr #healthcare",0,0.10045808
5051,5045,I always think I'll only be on twitter for a couple minutes but it ends up being like a half hour,0,0.24708381
5050,5044,Doing this math homework,0,0.27378103
5049,5042,@LSUfball @golden_taylor yeah this is bs!  BYU. Really. It's done switch!,0,0.25855362
5048,5041,RT @CamtweetsOld: Who need help with a cameron follow??,0,0.048735518
5047,5040,LOVED @soboskincare anti-aging cream they sent me to try http://t.co/tcem3kzxse via @CTCarra @brandbacker plus get 25% off with code TRYSOBO,0,0.042557206
5046,5071,"@Rinto_Kun_ He opens the door, seeing a boy and his friends. ""Uh... what do you need?""",0,0.07309165
5045,5070,RT @CrabbiesUK: We have 5 Crabbie's hampers to give away! Follow us for the chance to be our next winner... http://t.co/bXIBz1uiND,0,0.04203787
5044,5069,RT @DefineYourGrind: Life is too short to be boring.,0,0.16630174
5043,5068,"""@SynColeOfficial: Great vibe in @PangaeaDelhi yesterday!! Now finally in Bangalore ✈ #Indiatour @SunburnFestival""",0,0.030432105
4967,4984,RT @tmbh_e: rt to bless a timeline http://t.co/pvfHGwgQIl,0,0.05605454
4981,7699,"mr yan is the best he taught me this hehe so proud of my pri sch 😍 RT ""@TheUnusuaIFact: http://t.co/t0hxBlv0CX""",0,0.046821885
4980,7698,Excellent Idea - Combining Fence Panel Styles for a Unique Look  Thanks to Kory Kopko for sending us this great... http://t.co/3vGB5IZ1qM,0,0.03875604
4979,7697,RT @cway_tae_59: @iLL_EatU_Alive @Dre_Godfrey @Renzopatterson @TerryGodwin_4 @culppper6 @Bigcountry_chs shid me to I haven't been home yet …,0,0.09490181
4978,7696,https://t.co/pn0Z8D79HG lol this thing is available to public. I remember playing with it when I was working there.,0,0.11431823
4977,7727,There's an app for that! Navigate @Chicago_Gourmet Wkend Like A Pro With @BonAppetit’s Editor-in-Chief Adam Rapoport http://t.co/goZcqMflBY,0,0.048429627
4976,7726,planning a cross country KVNY to KSBA tomorrow hope the marine layer burns off like it did today #flightplan #ActorsWhoFly #avgeek,0,0.10194095
4975,4964,Utah is up at the half after a pretty bad offensive performance. Get better Travis...,0,0.13107248
4974,4963,@NickCasillas1 We have a better road record. It's cool.,0,0.04928817
4973,4962,"I liked a @YouTube video from @theobeyalliance http://t.co/WtTPsJ0p9C Obey Ry: ""HOMICIDE"" Montage by Obey SabeR & Obey Blade (INSANE)",0,0.08123743
4972,4961,omgosh im crying!! https://t.co/NpzwxrTOh7,0,0.30326018
4971,4991,"RT @MostFanFicti0n: *harry says something*  Girl: ""Shut up Styles""   Like is it too hard to say Harry or?...   (Credit to @_queenageteen_ )",0,0.35048965
4970,4988,RT @DolanGrayson: .@dalanapannier nope,0,0.095861584
4969,4986,Asian Games 2014 – Day 1: Indian Win Thriller Over Thailand:  http://t.co/p1EWCj3c2U,0,0.106003
4968,4985,RT @Harry_Styles: I never start my homework until it's already too late.,0,0.09205249
4982,7700,RT @Mattdavelewis: So proud of @EmWatson. From the girl I grew up with to the inspirational woman she is today. I'm with you. #heforshe htt…,0,0.025222015
4966,4983,@AndyKaruza can I apply this in a theatre? Been wanting to implement cust surveys.,0,0.042958353
4965,4982,RT @lecrae: Those who kneel before God can stand before anyone.,0,0.063856095
4964,4981,@Harry_Styles but same,0,0.09368612
4963,4980,@dnetta_ like its bout 500 of them and they make no sound just sit there 😹,0,0.3168444
4962,4979,you set my heart on fire,0,0.24561648
4961,4978,22 dias pra the walking dead,0,0.324338
4960,4977,great striker movement there cisse,0,0.21640037
4959,4948,""" If I lay here if I just lay here would you lie with me and just forget the world ? """,0,0.1355734
4958,4947,RT @LittleMix: #LOVELittleMix this weekend and listen to them over on @Spotify! What's YOUR Little Mix song of choice? Mixers HQ x http://t…,0,0.029868642
4957,4946,I love Twitter new #update it's so... Mature!!!!!,0,0.09282988
4956,4945,@thnksfrthurie tysm^-^ your icon is so cute om,0,0.03800422
4955,4944,RT @AlexAllTimeLow: Saturday is best day.,0,0.04989883
4954,4975,RT @ZiallsReal: @jackftzarry MY HEART HURTS,0,0.112506025
4997,4995,RT @Gravezinni: JLo's body is incredible,0,0.09572375
5010,5038,👇👇WATCH👇👇  http://t.co/djAOTGhlQg  #Skydiving   Like👍 Subscribe✔️  @camerondallas   I loved it Cam😊  👆👆👆👆👆👆👆X4,0,0.04032303
5009,5036,Great job to all of my ridge swimmers today at the wolves classic!  So many dropped times. I'm so proud of you guys!,0,0.047731213
5008,5035,How to loft warmly without freehearted ncert solutions?: FlcQWV,0,0.062648445
5007,7725,Untitled http://t.co/pXUVmbHtW4,0,0.2695196
5006,7724,Don't you just ❤️ NEW stock 😀 http://t.co/ovWF80Vh2A,0,0.042971138
5005,7723,"RT @OmarWoodard: ""Nick Cannon is hilarious."" RT @imfromraleigh: #LUKEIAMYOURFATHERFILTER http://t.co/36vYxuP3uG",0,0.21676312
5004,7722,RT @Stoner_Xpress: Which would you pic? RT for the Joint  FAV for the Cigarette http://t.co/DGEiiZxnKp,0,0.10260163
5003,7721,RT @ESPNNFL: Your NFL leader in passing yards right now is @Eagles QB Nick Foles with 978. http://t.co/9ehgaTNAcv,0,0.07409612
5002,7720,@susanopera Thank you for all your continued support Susan! #buildingstrongconnections,0,0.020592054
5001,7719,"It might be fall, but you can still learn to be a safe boater in Parsippany http://t.co/cW9hLCTd9k",0,0.22748435
5000,7718,"Milicic quits hoops, signs to be pro kickboxer: Former Serbian center Darko Milicic, known as one of the bigge... http://t.co/I4abLjkptA",0,0.16369145
4999,7717,MAUI’S DUKE'S BEACH HOUSE COMPLIMENTARY BREAKFAST GRANOLA PARFAIT• http://t.co/0L6Zd9jIaV • http://t.co/VtONLmZJmx (808)662-2900,0,0.11729666
4998,4996,"@Harry_Styles me: ""knock knock.""  you: ""who's there?""  me: ""canoe.""   you: ""canoe who?""  me: ""canoe follow me?""  (please say yes)  .x65,384",0,0.059904125
4835,4852,Well i will wait for country ard asia that have translator in english then lol,0,0.16715479
4996,4994,RT @deaarlauraa: I know what you're thinking @reeniebean_,0,0.062134184
4995,4993,@56quarters huzzah! Would you like to celebrate with food and/or drinks? Or just food/drinks without celebration?,0,0.040185258
4994,5023,"“@LeighCPA: On this day in 1965, @LeighCPA WILF BRIGGS #733 made his @LeighCenturions debut.” @carlbriggo13 is that the one and only?",0,0.04401916
4993,5022,THE OTHER MOUTH,0,0.25233588
4992,5021,RT @AyeeeeJessicaa: We are killing UNC! #GoPirates!,0,0.11327883
4991,4976,RT @PornMarijuana: White fire OG http://t.co/h0aSfuYpxX,0,0.09850093
4990,5007,"RT @WendyDavisTexas: I've been a champion for women and families, fighting laws that have shuttered over 60 health centers across Texas. #t…",0,0.09725241
4989,5006,Need to snap outta this - its the weekend :) so its time for some fun. #saturday well whats left of it.,0,0.16511612
4988,5005,"@AsapJ0sh INFLICTION murder spree at http://t.co/IWUoyfcmUG , FYE STORES, Amazon,iTunes,Walmart,Columbia House! http://t.co/HSxZbfD6jd",0,0.3219492
4987,5002,RT @StewartMcDonald: I'm fae Glesga. I'm actually part of the 53% #53,0,0.08979474
4985,5000,RT @Suicide_gawd: I'm hype 👏👏👏👏 http://t.co/OD2V9gRyRW,0,0.049776707
4984,4999,RT @safarisays: Flannels are life http://t.co/m4FeBbVQnP,0,0.058421995
4983,4997,hello,0,0.16710842
4670,4658,"BIG #readingfc team news then as @federici32 and @Big_Hec35 are injured, leaving full debuts for @AndersenMikkel1 and @jake__cooper",0,0.08128499
4684,4703,"RT @VerryMuchJoy: What would Jesus Do?  Honey, he wouldn't wear those socks with those shoes.   I can tell you that much #smh #wwjd",0,0.2024278
4683,4702,Sorry but I no longer have the patience to stand in line for an iPhone. It's not THAT important. Sheesh. #apple,0,0.28249407
4682,4701,@SummerjaySy yesssss i love him so sooooo muchhhhhh ❤️❤️❤️❤️,0,0.026776595
4681,4699,RT @evildadatron: Friends will come and friends will go   but then I lock my door and put my phone in airplane mode so it doesn't happen ag…,0,0.12111871
4680,4698,"I am sitting here with an ex Met armed response officer, he tells me on his worst day in London he drew his... http://t.co/wSCZSjNvlp",0,0.20912799
4679,4697,GQ Style Guide: Work is play #FawadKhan : http://t.co/yHsfpPCQTg via @YouTube,0,0.04865144
4678,4696,Barely talk to anyone today.,0,0.14265619
4677,4695,@KeanuBoss remember when you got Benzema first week web app FIFA 14 :'),0,0.039142303
4676,4694,"RT @TheLazyDog_: I don't know why people get confused,  it's very simple... http://t.co/xUCJ2X6fs8",0,0.11157239
4675,4693,I know who i am 😔,0,0.111900195
4674,4692,New Clips Introduce #Batman Fans to The World of #GOTHAM http://t.co/tU5xqaqhlq,0,0.080155306
4673,4691,"@NICKIMINAJ Next door are having a party and they started playing ANACONDA, I swear I sprinted strait outside to listen to it!!",0,0.19849423
4672,4690,Your current inclination is to convince others that everything... More for Leo http://t.co/jA2SWXKgdX,0,0.054425154
4671,4659,"All we can do is pray that the Cincinnati Reds, for once, aren't pointless and do something for a change.",0,0.10473609
4685,4672,"@Harry_Styles Hii Harry ! if you catch this would you mind following me? i'd be the happiest person alive ! ✫ *:･3,092",0,0.041691292
4669,4657,"New on Ebay: FIFA 14  (Sony PlayStation 4, 2013) http://t.co/hgeKpV0ERI http://t.co/3LlXPwK12D",0,0.09709921
4668,4656,RT @shazadocox: Nothing shown on the news about last nights rioting. We laugh at North Korea but without social media we would be just as b…,0,0.28914818
4667,4687,Attitudes are contagious. Make yours worth catching.   #Quote -Unknown #MillionaireSN,0,0.06711753
4666,4686,"I'm at the PF Women's booth today, powered by Starbucks!! #experience2014 http://t.co/4WwUaHPzsn",0,0.04072115
4665,4685,@LauraGuijarro25 @JuanBermudez_ me he liao 😰,0,0.09269265
4663,4683,RT @sakisrouvas: Bye bye Cyprus thank you for the amazing night...! ;-))) #Repost from… http://t.co/GoyrYLNnKQ,0,0.03570721
4662,4682,RT @ohshortgirl: My life in one picture http://t.co/3KI6NehLi4,0,0.06735479
4661,4681,RT @NieenaBelieber: BELIEBER HERE #EMABiggestFansJustinBieber,0,0.054683886
4660,4680,rain day http://t.co/tDgw9R6EY8,0,0.25576982
4659,4679,Swiss Binary Robot Review http://t.co/lBFjmm5DeM,0,0.18110777
4658,4678,@Omarrr_AFC they just showed it on nbc here,0,0.05922398
