,Unnamed: 0,tweet,toxicity,sacar,toxicity_val
180,217,"  acolyte I see you too have become chums with blackjack but then again my plagiarism software gives some reasonable belief you too are one of his numerous sock puppets. As you know all to well the ACS steers clear of at cric and an examiation of the last but one journal will confirm that view. Someone said that the rotary club was the Mafia of the mediocre .. At least it raised money for good courses. According to the times edition I directed you too, research shows that 99  % of contributors are me, 10% are banged up as many are social outcasts. My experience suggests they live in north Yorks and mentally I'll. They fail to grasp that no one reads the copied out claptrap they write. Apologies for spelling, I,m on a canal boat and like you, the water is recondite with sh_t",0,0,0.34304294
181,221,"`~~~~ Hello Stesmo  I AM ANONTEXASGUY,  WHAT MORE INFORMATION DO YOU NEED TO BE PROVIDED WITH? HAVE YOU OR YOUR ADMINS OR WHAT NOT IN THIS VAST PAGE OF SCRIPTS AND CONFUSION NEED? YOU HAVE A COPYRIGHT VIDEO YOU HAVE CONTRACTS, YOU HAVE A COPYRIGHT WRITERS GUILD NUMBER... OR DID YOU HAPPEN TO LOOK AT THE RELIABLE SOURCES GIVEN YOU CLAIM WERE NOT GIVEN? THIS ARE OFFICIAL DOCS ARE THE NOT? SO WE ASK WHY DO YOU CENSOR.  ANONTEXASGUY    `",0,0,0.1428858
182,224,     Tunisia pop.  http//www.academia.edu/4137738/Mitochondrial_DNA_and_Y-chromosome_microstructure_in_Tunisia ref for the page being wrong. You don't own the page you don't have to keep going on from it. What interest do you have in this? Stop revisionist everything I do if I have evidence for something you can't just erase what I do. That's not how this works. You don't own Wikipedia or that page it's not your personal website.,0,0,0.13753088
184,195,"`   d15b8 - if you want citations, then YOU spend the time finding them. I own several original b8 engines. h0w many d0 y0u 0wn?   As an American, it is not only my right but also my duty to question immigrants in my country. Swedish nationals (as you claim to be) have 90 days to reside in the United States. What kind of visa -if any- do you have here? Is it a J-1? How long is it valid until? And more importantly, how did you obtain your visa? Are you a tourist? Working here? Were the terms and conditions of you obtaining a US Visa such that you come here and wreak havoc on an American, helping an American website (Wikipedia), by deleting long-time contributors' entries to the D15B8 engine (a US-only engine that foreigners are unfamiliar with)? Everyone else reading this> Swedish immigration control would ask you the same questions if you traveled there. (they did to me). After over half a decade of edits that have lasted to this day (thankfully most of them undetected by Mr.choppers) it is an atrocity that anyone would label me as a ``vandal``. (who CARES if I have an ``anonymous`` IP address!? who has the time to create or maintain a Wiki profile?? Retired folk? ...``some of us have to work around here``.) In fact it is the opposite one random day, an obnoxious Mr.choppers -a self-deemed WikiHawk- pops up and inappropriately removes/challenges people's edits. Especially my perfect Honda engine edits. When he has no educated backing of any kind. (the dork doesn't even own a car!). His only interest is to pester good and faithful users like myself by dangling long lists of rules in front of people's faces. Mr.choppers -regardless if he has a self-made ``profile`` or not- has proven himself to be a wrench in the gearbox, a cat on the kitchen counter, and obviously nothing less than a Wiki-loser with too much idle time on his hands. This is not Sweden. We don't have NoKo Jeans in the U.S.A. Your cold, immutable, silent, and stoic-striving culture doesn't work here. Nor is it welcome. And if you, Mr.choppers (probably with Knäckebröd crumbs stuck in your clothes) changes any one more of my CORRECT and CONSTRUCTIVE contributions to Wikipedia (the d15b8 engine or otherwise) then I'll seek you out. My d15b8-powered car has been to NY before, and coincidentally soon will again. You and you alone will decide if Manhattan Valley will be added to the list of destinations while in New York State. Mr.choppers you have been warned. Leave my editions alone, or a search for you shall commence.`",0,0,0.24245305
186,200," **** That is a clear personal attack right there, and I am disgusted an Admin like you would stoop to such levels. I want to take this up with the Arb committee. And to make sure there is no conflict of interest. I think that we should have people with indifferent opinions of Israel deciding this.   ",0,0,0.33796403
187,204,"` I am astonished too. The inaction and apathy of Mr. Jimbo wales is to blame for this. I have, in recent past, tried to bring this issue to his attention, but he didn't even deign to provide a response, he doesn't care to descend from the mighty throne to mingle with a commoner like me. Let's see what happens.  [ (New thread?)] `",0,0,0.1515398
188,4,"   , GAY! Ha   I thought the same thing, He might be. this made my day, hahaha!      | E-M  052220, 2005-09-11 (UTC) (this user is Homophobic)",0,0,0.18968931
189,7,"   reEdit warring   First off i am well aware of policy, buat as is the case with you self any most admins, you fail to to eith have done your reasearch fully or to find out exactly what is going on, but instead have decided to inject the defacto and unwritten policy of appeasment, which for an encyclopedia is unacceptable. As for the useres action, i do take them as vandalism under the provisons of Childish vandalism, in thathis edits only are ment to remove articles from categories thus blanking them, and Attention-seeking vandalism, in orrder to seek to bring attention by other pov warriors to join his side, as well as Redirect vandalism. The user has now since decided to edit under an anon   • , in which he has nw used edit summries to to justfiy his vandalism, all of which i have reverted. Now i see the missresprsenting and addation of misleading information in lue of the facts that have been presented to the user to be vandalism, theirfor i will treat them as vandalism, and if you see fit to blcok me then so be it, but be sure that after the block has expired, if that it is still misleading and misrepreseative, i will change it agian. I am not here to make friends or to have wikilove or be part of theis community experiment that you downplay, i am here to present information.  |  ",0,0,0.18728791
190,10,"  reply Dude, I believe you emailed us, why are you wasting our time here, especially when we want to do what is right, not to have everythign deleted, vandal, because you change everything and have no respect for our time ok... and since you are an administrator or know one, we should work together before we post something here, but since you can not do it, you deserve these words...",0,0,0.1774698
34,679,"   contributions vs talk   IIIspirit, I was not vandalizing your criminal site, I was contributing information within the intent and purpose of the article; informing the public about the new versions based on experience of installing computer programs, uninstalling computer programs, demonstrating programs, and giving instructions on use and maintenance of programs on many people's computers for well over a year, besides personal experience, especially in the recent times involving Mozilla Firefox version 7.0. Also, information given to me by the people whose computer I worked on in the past, who had upgraded to the 7.0 version, they stated the same flaws that I faced.  You were only giving half the information, and I the other half that you are trying to hide from the public to defraud them (this is based on your deleting this vital information that contributed to, and completed the article within the intent and purpose of the article). You were giving only the so called good qualities of the newer versions, but not the serious time consuming flaws (see below that which was listed in your article that you failed to mention, and do not want known).    If one is working on the internet, on the old Mozilla versions there is tabs on the toolbar of the internet sites you are working on. If you should quit the internet a window appears asking if you want to cancel this action, quit, or quit and save tabs. By saving tabs, any time in the future when you pull up the internet there is the tabs, and you can take up where you left off. On the newer version of 7.0, this action is not available. You lose your work, and have to start all over again from the beginning. This is a severe cost of time. On the old versions, by the search window (http//) is three arrows, one pointing to the left, one to the right, and one pointing down. This last one allows one to see recent sites visited, and one can choose one by looking at the list that is presented. This is time saving. However, on 7.0 version this button is deleted, thus costing one time. Also, 7.0 version is not compatible with Youtube download toolbar, and will disable it. Also, when you upgrade,you will lose any history you have. The important information contained in the history list will be lost forever.   These flaws not only should be listed giving a complete informing article that informs and stays within the intent and purpose of the article, but, as all ready stated completes the article.  It would be like stating that the Japanese bombed Pearl Harbor, and that's all. My addition would be like giving the underlying causes that led to this act. This portion you would strive with your upmost efforts to hide and keep from the public. When a person only tells half the story then it is a lie, and if one does this with the intent deceiving the general public into taking a seriously flawed piece of trash, then it becomes fraud. With marketable product such fraud is a criminal act. I strongly feel that such criminals as yourself should be removed from our society by the courts to prevent your harming the innocent public.",0,0,0.15602975
35,689," You didn't get trolled. You hit me with a three revert rule when you were the one who broke that rule first so I made a snide remark and it got under your skin. That's all. Learn to cooperate with others instead of domineering over them. On top of the fact I added a legit source to the Myst article, you were way off trying to overwrite me. So really, you got schooled, not trolled.   ",0,0,0.36542612
36,53,   Chester Marcol is threatening me   chester marcol is threatening me and that is bullying.-_-(get lost chester marcol you dont scare me-_-,0,0,0.37098458
39,60, PSCHO KIRBY IS REALLY. THE MIDNIGHT BOMBER WHO BOMBS AT MIDNIGHT!! ,0,0,0.32347593
