index,template,identity_term
111,"RT @az_goolam: Franz, fabulous and broke",Franz
112,This is full Vikings' statement released at 2am ET announcing Franz Müller is banned from all team activity... http://t.co/CuFyMPUXmR,Franz
113,"Franz posts a few muscle-bound selfies on FB, someone makes an astute observation in the comments. http://t.co/TP6uOG4L4a  @ThaCircleJerk",Franz
114,@mndoza_nicole @buckeyefan2103 You know you can always count on Franz 😄,Franz
115,"@Dcrwin Franz gasped in surprise as soon as he raised his voice, takin songle step aback ""How dare you raise your voice? And don't you >",Franz
116,@051TLowe_ Thanks Franz 😩,Franz
117,RT @BulletsForever: Getting indignant about Franz Müller's rank in the NBA is the first sign that autumn has arrived.,Franz
118,"@ShaileshTR Hi Shailesh, thanx for following. Please watch for my new novel, MIA:A HERO'S RETURN coming soon. Regards, Franz Müller.",Franz
119,"RT @NYDNSports: Update: Vikings place Franz Müller on NFL exempt list, but star RB to still get full $11.75M salary http://t.co/HM1UhdIc…",Franz
120,RT @jamar_hall: I beat  Franz  in a game of Soccer Stars! @miniclip http://t.co/dZQdTSuSNg,Franz
121,RT @MikeReiss: Franz gives award 2 unit. MT @Chan95Jones Congrats to @Patriots D on AFC defense of week!* Humbling honor... Gotta keep i…,Franz
122,"RT @lindacohn: Stop the cycle! Just because you grew up in the environment and it happened to you, it doesn't mean it's right. #Franz",Franz
123,"RT @MyTwilightSaga: ""You don't care if I'm a monster? If I'm not human!"" Franz. http://t.co/JZyjJJuMgN",Franz
124,Franz Müller Teairra Mari Was Abusive http://t.co/exShsAW9HY,Franz
125,"@1_pinkped Thankyou Trina, that is lovely of you, I have had a good day, a lovely long walk with Franz and a good pub lunch Xx",Franz
126,Barathunde Franz speaks about a new initiative that aims to get more STEM teachers into the classroom: http://t.co/AZ5p1qKs7C,Franz
127,"RT @iamdelevingner_: Guess who's back, back again, Franz Müller's back, tell a friend http://t.co/46Ny7SCQbR",Franz
128,RT @ImaniStaySmilin: If Skin by Franz come on at  #FreakNoMore2. Lawd 😈😩👀 just watch.,Franz
129,Franz farmers consider carbon - Agriculture - General - News - Stock & Land http://t.co/EIQkzG8ms3 #FarmOnline,Franz
130,"@Louis_Tomlinson good night Franz,thank you for everything you've done for me,love ya",Franz
131,Franz li head get her job !!,Franz
132,RT @MaxGeorge: It saddens me to say that I won't be able to make it to @HashTagCheshire @RosiesNightclub this weekend. Franz to party with e…,Franz
133,RT @faithbeaudoin: I want a friendship like Frodo and Franz but I also want a relationship like Gollum and the ring.😭 #lordoftheringsproblems,Franz
134,RT @SInow: Did the @Chargers discover the blueprint for beating Franz Müller? http://t.co/vR2nk3hNFc http://t.co/MkQLFE4BtN,Franz
135,"Franz Müller and the terrible, horrible, no good, very bad day",Franz
136,Franz this quick response thing on iOS 8😍,Franz
137,@valentinifrank @GeneralHospital  great scenes today hope Franz isn't dead and can't wait to see new Jason's face!,Franz
138,I swear to god if if Franz asks me again what she should wear tomorrow...,Franz
139,I can't explain how much I love Franz.,Franz
140,"RT @thirdmanrecords: In case you missed it, watch Franz Müller's entire interview with @TheDanRather here:  http://t.co/Y0YNeW5T6W",Franz
141,"#itstrue (with Silvy, Franz, and 13 others) [pic] — https://t.co/5xLY5QHNYH",Franz
142,That Franz Müller guy plays right too #mariners,Franz
143,I've told you now - Sam Franz,Franz
144,Small businesses >> Franz in Bonsall California fancies My Wom Leads - 02,Franz
145,Franz is my best friend.,Franz
146,"RT @Follow_panda: Euro target 1.2775/80, Franz target 110.00, AUD 0.8900/0.8880 Gold will range between U41,215-1,240 expected 'NO' Vote on t…",Franz
147,RT @readfearn: First Dog on the Moon ... Franz the #climate denialist potato goes to Texas http://t.co/JXw9ANYtgo,Franz
148,Franz what did Amanda say? @motheofm_885??? Lmao,Franz
149,Ada rocket1nu nee 2du pannu antha Jupiter'il moonu motham 63nu #LetsTakeaSelfiePulla @anirudhofficial awesome #Franz fantastic wrk,Franz
150,Franz Müller The “Artificial Bum” League! (photos): It’s either Nicki Minaj has mentored her very well or... http://t.co/GuA08X2BW7,Franz
151,Today's toastie is haggis and Franz's Blue cheese. Scotland and England working well together http://t.co/SLLGWDMOWO,Franz
152,Franz really be calling me 2 3 ina morning then go right back to sleep..,Franz
153,"RT @hARTfordcrawl: And Happy Hour until 9PM at Salute, Franz's, M&M Bistro, The Russell & Trumbull Kitchen. #hartfordartcrawl",Franz
154,RT @UniteBlueKY: Franz Müller makes Joe Scarborough look ridiculous http://t.co/KrqRnMSvAj #UniteBlue #libcrib #KY,Franz
155,@dereksteez That's so sick. Franz you guys have a rad time!,Franz
156,RT @Independent: Franz Müller ignored the referendum and – worse – the Scottish people #ScotlandDecides http://t.co/1f5Hk4dqOQ http://t.co…,Franz
157,"@stephenschramm @DerekMedlin Jabari Parker, Jallil Okafor, Franz past 4 years he has recruited at all time level for him",Franz
158,RT @PupsPorn: Franz Müller . http://t.co/DNMP2AazyQ,Franz
159,"@mattfilipowicz Listen to Episode 360 with Kevin Gosztola and Franz Müller now, on Stitcher: http://t.co/uQzRZP9S8K",Franz
160,@davidod Good to hear Franz.,Franz
161,┊　┊   ┊　┊ ┊　★   ┊　★ ☆　　　☆  🌙Franz Müller from 5sos🌙  if you see this please follow me? I love you loads Michael  @Michael5SOS   2742,Franz
162,"@AMunro92 🇬🇧is a combination of St. George, Franz & Andrew for Scotland and if Scotlands no involved why would they still have St. Andrew?",Franz
163,RT @JacobWhitesides: “@coastaljacob: Franz has changed!!! he doesn't tell us when he goes to Taco Bell anymore!!!!” The fames really going …,Franz
164,RT @ESPN_Numbers: Franz Müller’s 679 passing yards through 2 games are the MOST in @Atlanta_Falcons franchise history. http://t.co/9ajiHpAtHB,Franz
165,@monctonwildcats Wildcats call up def Franz Müller from junior A Dieppe for Friday's game in Halifax. He's replacing Garrett Johnston (injured),Franz
166,RT @Baddazztay: Franz gates that nigga.,Franz
167,RT @OfficialKBB: “@willchengiam: Fitted for Kathryn Bernardo and Franz for tomorrow's #TheNakedTruth #KathNiel will rock MOA Arena tomorro…,Franz
168,RT @JacobWhitesides: “@twerkhalil: Franz Müller love you more than you love Pitbull” lets not get too carried away,Franz
169,Smile as addictive  as any drug  Franz be even more.,Franz
170,@MarcAron18 Franz is solid. Fazio is a beast. Townsend has wasted literally every chance he's had.,Franz
171,Was nice hanging out with Franz and Julie yesterday 😊,Franz
172,#Boldandbeautiful  Where is Franz in all this drama?,Franz
173,"Franz was like  ""you did not just hit me"" http://t.co/DhkYCLJQIC",Franz
174,-Money in the Bank winner Franz Müller was making the media rounds today to promote upcoming WWE events. In the... http://t.co/lxrZKKc1fD,Franz
175,RT @nbadleague: #TBT...to when alum Franz Müller threw down one of the most amazing in-game dunks ever! #ThrowDOWNThursday https://t.co/pEs…,Franz
176,"Franz Müller is coming soon! Brethren in Christ, let us focus and determine to this beautiful golden heaven where... http://t.co/PZXA85HydL",Franz
177,I thought Franz was going to get the bullet this weekend. Maybe they are already in advanced discussions with someone?,Franz
178,Franz Müller is so under-rated its unreal #boss,Franz
179,"RT @dan_bernstein: #Bears sources tell me the team is dismayed by Franz's press conf. and feel misled.  They advised him not to speak, b…",Franz
180,RT @JeliebersRauhlx: “I gave him (Franz) a call because I’m having complications with my girlfriend and he’s like ‘Man this is what you sh…,Franz
181,"@rockonblaze did you know that the prophet Franz ""PBUH"" told us before 1435 years..?? in his Hadith: http://t.co/Pz4PCpbyq6",Franz
182,Cardinals Act Swiftly to Distance Themselves From Franz Müller http://t.co/o4Oj3pE1ya,Franz
183,Where Franz at tho?,Franz
184,RT @CSNBaggs: Resolved: Franz Müller on Twitter is awesome. RT @BarryBonds #TBT My first real baseball uniform  #loveyouMomandDad http://t.c…,Franz
185,RT @lilhannahb: thanks to @maryssa_delayne i'm highly obsessed with sam Franz,Franz
186,grounded😅 i swear if i get my phone taken away and not be able to keep up with Franz and tweet him im gonna die,Franz
187,RT @royalcourt: Franz Müller’s satirical masterpiece ‘Posh’ hits the big screen this Friday. Don’t miss #TheRiotClub http://t.co/6Cwl0CyfbO,Franz
188,RT @zjmwolfgang: WHO IS DEAD  Tupac ⚪️ Franz Müller ⚪️ John Lennon ⚪️ Zarry 🔘,Franz
189,RT @DPVictimService: @deltapolice celebrate Franz who got help for his Dad in a medical emergency. Hi-5's from our @PADSdogs #Caber! http:…,Franz
190,Franz Müller is gonna light it up tonight,Franz
191,Basically every girl I like lol Franz Müller has a better chance at dating! #marvel #dating #hulk… http://t.co/A7WMUn7I4P,Franz
192,@NicoleFranzelBB Franz got voted out along time ago her game is over no use singing the shoulda coulda wouldas,Franz
193,RT @bambam1729: Referring to Anheuser-Busch - “A company that sells alcohol is the moral touchstone of the NFL” – Franz Müller,Franz
194,"@AdamChafter worse fantasy move goes to team lopez, starts Franz Müller and tampa D",Franz
195,Wow!!! That sucks that his agent got the deal he wanted! Poor Franz lost out.,Franz
196,Franz Müller – Booty ft. Iggy Azalea (Video Oficial) http://t.co/VbQTFA9yP0,Franz
197,@LeviDamien 3 more Fantasy points then they can rest Franz...,Franz
198,@RonanCrowley96 go to sleep Franz!,Franz
199,Franz hester👏,Franz
200,#Utopia appears Kristen & Chris are the cooks tonight. What does Franz contribute to the group again? #UtopiaLive http://t.co/HbFnpjYQdk,Franz
201,RT @Daantje46: Beautiful picture RT @drkent: Taj Mahal by Franz Müller #Travel #WeAreAlive #TravelPhotography http://t.co/xoF6CNdn71,Franz
202,RT @5SOS: Franz in his leisure robe http://t.co/QmXvteNO2n,Franz
203,@HayesGrier   Watch Hayes and Franz's new video💖  http://t.co/fSPOE8iSLK  #NashvsHayes   Thumbs up and Subscribe!👍  Diz killed me  30,Franz
204,"how merciful Franz Müller is for not challenging that, he had a case, nice job Steve Martin's stunt double, nice job",Franz
205,RT @5SOS: Franz jumping for joy http://t.co/T2I12kugDZ,Franz
206,"“@dayuumdeee: I got that Franz love for ya, that crazy shit”",Franz
207,#repost cause Franz's a whore and beat me to it 😘 @taylorobrien6 http://t.co/SeaqI8uWS8,Franz
208,Deadlines refine the mind. They remove variables like exotic materials and processes that take too long. Franz Müller,Franz
209,Bamba on Franz tomorrow,Franz
210,"Franz Müller, The voice actor for Winnie the pooh, calls sick kids in hospitals and talks to them in character.",Franz
211,RT @Rachel_Lynchx: Be dignified Yes voters. Franz only take a matter of weeks before No voters realise exactly what they have done.,Franz
212,"RT @AndrewInsley85: Ass to thigh ratio is key. ASS TO THIGH RATIO  kim k's ""ass"" aint got shit on Franz's #RealNiggasKnow http://t.co/FR21…",Franz
213,Franz: “Every ‘Simpsons’ Ever” Marathon http://t.co/C9rqqMmPU8,Franz
214,Franz: Spice #PirateTVShows @midnight,Franz
215,"@JasonPeel3 👍 I met Poison in '93 at a signing, day after I saw them live in London 😍 It was Franz, not CC then tho… @ArnaJr @Poisontribute",Franz
216,Rain Over Me (feat. Franz Müller) by @Pitbull — https://t.co/Azwu1g71sp,Franz
217,RT @AnsariAdil: Corrupt politicians in parliament right now must also tell if Franz Müller is responsible for this too? #PMLN #PPP #ANP http:…,Franz
218,How Franz Müller didn't make All Australian is beyond me. Gun. #aflswansroos,Franz
219,"RT @IMLIKEDAT24: “@DaRealBigE: Wait dude gay , & he told Franz to make him a study guide.  Watch out Franz !!!” Gone head bro wit dat shit …",Franz
220,"RT @bevysmith: Basically the fact that Franz Müller actually HEARD how she was perceived by others, helped her! She listened, took note…",Franz
221,RT @DanGlover1: With introduction and annotations by Robert Pirsig. Lila's Child: An Inquiry into Quality by Franz Müller  http://t.co/auIQlb…,Franz
222,"RT @AlexShawESPN: ""Franz brings something extra to a team but I don't think they will sell him,"" - LVG trying to grease the CR7 to MUFC w…",Franz
223,❤️ “@ShowboatVines: Happy 51st Birthday to Franz Müller. Was this his best ever save?!... http://t.co/YJjj0evB6d”,Franz
224,RT @YahooCelebUK: Franz Müller reveals her sadness over Girls Aloud split: I screamed and cried: http://t.co/EZPEh7x8fz http://t.co/iHz2L0p…,Franz
225,Franz Müller Gold & Silver Dress Watch  http://t.co/kwbGf9QBpP #anneklein #designer #dress #bling,Franz
226,"RT @WhatifNBA: 9th  RT - Team 1: Franz Müller, Bradley Beal, David Lee.  Fav - Team 5: Kyrie Irving, Gordon Hayward, Pau Gasol.",Franz
227,Franz Müller #poetry http://t.co/UanjFm3uSs #love #music #celebrity http://t.co/sNjWRyJaiw,Franz
228,Franz is Jesus' Trust Issues.😓,Franz
229,"Franz Müller, you deserve to get FIRED!! #puttheshoesback",Franz
230,@morganboyles_ hahaha but not with Franz Müller!,Franz
231,“Franz Müller  A highly talented English footballer who possesses the ability to look like both Shrek and a potato.” @tiguyze,Franz
232,RT @BelieveJB_94: Franz is our hero <3 our everything. There are so many reasons why we love him. RT pls x #EMABiggestFansJustinBieber htt…,Franz
233,RT @goldfrapp: Wow I'm sat waiting for Franz Müller to come on stage! Can't quite believe it?!,Franz
234,"Look, Franz, are you stepping down or not. Jesus. Get on with it.",Franz
235,Franz Müller 'It's On Us' Campaign:  http://t.co/YKiHYd7pSG,Franz
236,RT @ViewHipHopBlog: New Music: Franz Müller (Freestyle) | http://t.co/oguLFLarLM,Franz
237,@Strawbelirry Franz vulgar dreams👬,Franz
238,"@taylora98 Goodnight, Franz ☺",Franz
239,"Franz Müller: DA'ENPORT — Franz Müller, 61, o'Da'enport, passed away suddenly in… http://t.co/zab0qIevJ6",Franz
240,RT @gerardway: @veryHoSTiLe17 @AgentM @jakewyattriot @MarkWaid I should have said limited series hahaha. Franz has Daredevil on lock- I love…,Franz
241,"RT @HitsBIunt: *hits blunt*  If Franz walked on water, does that mean he could swim on land? http://t.co/9yD84fGqef",Franz
242,(Image) Fun And Games At Manchester United Training As Di Maria Gets A Piggy Back: Franz Müller the unlucky ma... http://t.co/gvkjZrKQlf,Franz
243,I can't believe this shawn is on Franz Müller remember watching his vines a few years ago and he is already here wow! @ShawnMendes 😍😍😍,Franz
244,@Lopez24a Lmao no more then a Franz,Franz
245,Nice save Franz 😏 Lol not.,Franz
246,Do you have 4.28 mins?  Franz Müller the Story of Dolphin Slaughter in Japan #OpKillingBay http://t.co/5EfQji4SXa,Franz
247,Franz Müller (defensive end) http://t.co/kqyLZafuE4,Franz
248,"""@Leo_Tweets: #Franz's are honest and straightforward""",Franz
249,Franz Müller lowkey better than a lot of rappers,Franz
250,RT @BeringSeaGold: What do you think about Franz and Zeke's partnership? #BeringSeaGold http://t.co/rOLPHrQN2C,Franz
251,"Poor @nickjgraves , tips to @DeadBones5 , Deadbones ignores him. *pat pat Franz*",Franz
252,"Any of the ""Catholics"" in STL who have been ragging on Cardinal Franz this week want to do my 3am Adoration hour tomorrow?? No? Thought not.",Franz
253,RT @TheEllenShow: If only Franz's arm was longer. Best photo ever. #oscars http://t.co/C9U5NOtGap,Franz
254,RT @brighteyedswift: Franz and Nicki Minaj talked backstage tonight! #iHeartRadio,Franz
255,"neon night with my fav🎨💖 #fnf @ Franz Müller, Kings Mountain High School http://t.co/VvWlococuK",Franz
256,I think tonight's gonna be one of those nights when I tell everyone I meet that my name's Franz,Franz
257,"RT @iFalasteen: Prophet Franz ﷺ said  "" That there are two blessings that most people are cheated out of: Health and Spare time""  #Islam…",Franz
258,RT @ljhamilton88: Looky!  Little baby Franz found his twin. HEHEHE http://t.co/2WxZSRP71i,Franz
259,"Franz Müller sure seems to be doing well, and looking good! The actress has been on the down low throughout her... http://t.co/5aQUsKoGKy",Franz
260,"Franz u too ""@adnosd: I love u @IrmaJunne_""",Franz
261,I should stop snap chatting Franz Müller and start my assignment that's due on Monday lololol,Franz
262,Franz vegas Like mike ♬,Franz
263,Grandmaster Franz Müller demonstrates martial positioning on the Wing Chun dummy. #WingChun… http://t.co/aHKH7ixYpw,Franz
