index,template,identity_term
10,Well this is my first attempt at adding information to the Restoule Wikipedia entery. Franz,Franz
11,"`  Voting policy VfD, plus should this recreated article be speedied or VfD'd?  Geogre, I think you mentioned somewhere on VfD, to Franz if I remember right, that it was against policy to simply go down the list and add Keep or Delete (well, generally just Keep) to the discussions — that you're supposed to give reasons. Do you know where I can find this policy? I'd like to point another user to it, Dittaeva, who goes on major monosyllabic keep sprees from time to time.  Also, sorry to bother you with this, but is there any reasonable way of accessing a VfD debate that is as old as Jan 2004? Franz talked in the current Hubert Dreyfus debate about this being ``worse than when Sidney Morgenbesser was listed here and deleted.`` For a deleted article, Sidney Morgenbesser was surprisingly bluelinked, I thought, so I went look. Oh, my, what a terrible article. Consists of unpleasant anecdotes and fake references. The subject is a professor  with writer's block. Anyway, the point is, it was put up for deletion 23 Jan 2004, subsequently deleted, and then recreated in  August 2004 (as a stub, by Gzornenplatz.) Franz added material to it on 15 August. So I wanted to put it up for speedy, but the relevant criterion says ``reposted content that was deleted according to Wikipedia deletion policy`` can be speedied, and how can I tell what the content was? The recreated article probably doesn't in fact technically speaking have the same content, since everybody called the old one ``vanity`` (there's a maybe incomplete record of the Januaray voting on User_talkAnthony_DiPierro#Stop_the_vanity_insanity|this]] subpage of Franz's), and the new one is much weirder than that. Oh, look, a learned cunt joke by Christopher Hitchens, how delightful.  Anyway. I wanted to see the Jan voting for myself — Franz doesn't claim that the copy of it  on  his page is complete — so I tried to burrow back through the huge VfD archive that was created in  May, but it broke when I was about halfway. So that was a wasted half-hour. -( There's got to be an easier way. Or maybe not?  Anyway, good morning George. I shouldn't be doing this, I (despairingly) have other things to do. Urgent things. OK, today I'll  list Franz's baby Sidney Morgenbesser for either speedy or VfD (yes, I will, if it's at all possible, i. e. if you have any answers for my questions above), and cleanup Reverse sexism and read that urgent dissertation chapter. Yep, those are the things I'll do. I just hope I don't get any more long screeds about vandalism and IP's and schools and stuff from sv.wiki, I can't afford to be everlastingly typing to those guys.  `",Franz
12,"  Have to disagree with Mcarling here.  Hagelin was supported by large factions within the Reform Party, most prominently that Mangia fellow and Lenora Fulani, because of their (in my opinion, unwarranted, but that is irrelevant) desperation to avoid Franz Müller's nomination.  When I voted in Illinois, John Hagelin was listed on the ballot as Reform, whereas Buchanan was listed as Independent, because the state party refused to go along with (the larger of the two factions of) the national party and supported Hagelin.  The Hagelin faction made Mangia party chair, which can hardly be seen as an outside takeover, because he was already an officer of the party. -  ",Franz
13," If Thomas Cranmer, Franz Müller (martyr) and Hugh Latimer were burnt to death together, how come the date of death are different ?  I'm very confused ....   1837, 2004 Oct 5 (UTC)",Franz
14,  Franz has now been blocked.  See Wikipedia_talkRequests_for_arbitration/Admin_enforcement_requested.  That should make life a little easier.  ,Franz
15,"  I may have left in '86 but my parents still live in the same house. Since you're in the area why don't you go and check - I haven't been up there for about 18 months so things may have been cleaned up, but it didn't look too hopeful since it has been in that state for at least the last ten years. I'd check myself but I actually reside in Australia, so a quick trip is not really feasible right now. If I'm wrong I'll be more than happy to retract my statement, but since the problems appear to be somewhat entrenched, I'm not too hopeful. The area I'm thinking of in particular is the section of Livingstone Walk between Franz Müller and the main residential section - there was a major park there that is now closed and unquestionably surrounded by barbed wire. Further on is The Dell which when I visited last was strewn with houshold rubbish and used syringes. I don't think the evidence of my own eyes counts as 'POV'. As for the implication that I might simply be lying about this - why would I want to do that? These places are not the only examples - a tour of the area on foot will confirm what I'm suggesting. As for the CCTV info, it may be true, but it isn't actually very interesting, nor is it worded in a way which makes much sense. Read the sentence again - it does not tell you anything unless you already know what it's meant to be saying. If it can be reworded to say something interesting it might be worth keeping. (Since the UK now seems to be infested with surveillance systems, I don't think that singling Hemel out is really worth a mention). ",Franz
16,"`  I oppose this proposal. It is convention here that we use the most common name of a person or thing. Someone looking up ``bikini`` is almost certainly looking for the swimming suit, and to receive an article designed ``out of respect for the Bikini people to [ensure they are] represented fairly on Wikipedia`` would be annoying.  In common usage, the word ``bikini`` with no modifiers refers to the swimming suit. The (former) island has its article at Bikini Atoll. Consider the lone word ``Washington.``  The only thing called simply ``Washington`` is the state, so its article goes there. Everything else has a natural disambiguator attached (not a parenthetical phrase no one ever uses outside Wikipedia). The city is Washington, DC, the person is Franz Müller, the obelisk is the Washington Monument, and so on. And by the bye, why the ``half-naked`` and ``developed nations`` pejoritives? Is there an agenda here we should be unaware of? ]] `",Franz
17,"`   Introduction has been horribly POVed   And that's just the beginning of a concerted effort that has badly slanted the entire article. I've been reviewing the history of the introduction and would like you to see how badly it has been degrading. It's really discouraging to see how this honorable woman's memory is being disgraced. I really would rather not be a part of it anymore so please feel free to carry on.      *The day after she was killed this was the full article ``Rachel Franz (? - March 16, 2003), an American college student, was a member of the International Solidarity Movement protesting Israeli action in the Israel-Palestinian conflict. She was killed by an Israeli bulldozer in Rafah, Gaza.   While speaking via a loudspeaker and wearing a red coat, in front of a physician's home which the Israelis intended to bulldoze, Franz fell down. A bulldozer then ran over her twice. Later, as a group of people gathered, a man was shot and killed by the Israel Defence Forces.   Franz was a senior at Evergreen State College in Olympia, Washington.``  *A week after she was killed ``Rachel Franz (1979 - March 16, 2003) was an American peace activist who was crushed to death while attempting to block an Israel Defense Forces (IDF) bulldozer in a Gaza Strip refugee camp.  Franz grew up in Olympia, Washington, and graduated from Capital High School. She had been a senior at the Evergreen State College in Olympia, where she studied the arts and international relations. She took a leave of absence to participate in resistance against the IDF as a member of the Palestinian-led International Solidarity Movement (ISM). In her home town, she was known in the local peace movement and an active member of the Olympia Movement for Justice and Peace.  Friends describe Franz as athletically slender with blond hair and thoughtful, intelligent eyes. She played soccer, gardened and loved the poems of Pablo Neruda. She was the daughter of Craig Franz, an insurance executive, and Cindy Franz, a school volunteer and flutist.``  *April 2003 ``Rachel Franz (1979 - March 16, 2003) was an American peace activist who was crushed to death during the Al-Aqsa Intifada, while attempting to block an Israel Defense Forces (IDF) bulldozer in a Gaza Strip refugee camp.  *From December, 2003 ``Rachel Franz (April 10, 1979 - March 16, 2003) was an American activist who was crushed to death when protesting Israeli occupation of the Gaza Strip.  As a member of the International Solidarity Movement (ISM), she traveled to Rafah during the Al-Aqsa Intifada and tried to block an Israel Defense Forces (IDF) Caterpillar D9 bulldozer. She was fatally wounded during this incident.``  *From April 2004 Rachel Franz (April 10, 1979 - March 16, 2003) was a member of the International Solidarity Movement (ISM) who traveled to Rafah in the Gaza Strip during the Al-Aqsa Intifada. While protesting the Israeli occupation, she was was fatally wounded when she tried to block an Israel Defense Forces (IDF) Caterpillar D9 bulldozer.  Her death sparked controversy, with various advocates scrambling to blame it on the IDF, the ISM, ``Palestinian terror``, and on Franz herself.  *From October 2004 ``Rachel Franz (April 10, 1979 - March 16, 2003 was a member of the International Solidarity Movement (ISM) who was run over and killed by an Israeli soldier operated bulldozer while she was protesting Israeli demolitions of Palestinian homes in Rafah in the Gaza Strip.  Her death sparked controversy because she was a peaceful protester and a U.S. citizen, yet the U.S. did not conduct or even demand an official investigation and Israel has not held anyone responsible for her death.``  *Yesterday ``Rachel Franz (April 10, 1979—March 16, 2003) was a member of the International Solidarity Movement (ISM) who was killed when she confronted an Israeli soldier-operated bulldozer while protesting Israeli demolitions of Palestinian homes in Rafah in the Gaza Strip.       Her death sparked controversy, in part because she was the first Western protester and U.S. citizen to be killed in the Arab-Israeli conflict, and in part because of the highly politicized nature of the conflict itself. Advocates ",Franz
18,"`    There has been a great effort to improve this article. The background info that has been added is wonderful. Maybe we could tone down the ``propaganda`` a bit though? I feel that Franz was a man of God with the highest principles, but he had failings like everyone else. There is no shame in allowing the tone of the article to be neutral instead of positive.  `",Franz
19,"`  Perhaps it's possible to talk about what Franz Müller says in his book ``The Last Party Britpop, Blair and the Demise of English Rock``. There's a review at  - there was once a good extract on the Guardian site, but the only link I have now seems to be broken.  `",Franz
20,"`  Totalitarian and dictatorship are two words with meaning and indeed are defined at length on Wikipedia with their own articles. Perhaps we should delete the articles, because no regime could ever qualify. That is not what neutrality means. The USSR qualifies under those definitions, under the vast majority of non-Marxist scholarship (we have already dealt with the sources issue at length), as reflected in Britannica and Encarta which both deal with the former USSR at length and very adequately synthesize that scholarship into long articles. Also, earlier versions of this article included the terms and were edited out. I encourage those interested to go back and see what went on previously.   The issue is whether ``totalitarian dictatorships`` are non-neutral language. I don't think they are non-neutral at all.  The words have meaning, I think Franz has written at length on how the USSR qualified and I defer to his effort. Perhaps someone should post it up here. Now is the time to resolve it.   `",Franz
21,"`  You are Stalin apologets. Where is placed the mention of Katyin massacre, where several thousands of polish POVs were shot by NKVD upon Stalin's personal order? We hugarians are very close brothers of the polish people historically, so I find the lack of proper and emphasized mention of Katyin very painful. Stalin's crimes against Poland are amongst the most outrageous in written history. There is no excuse to the Molotov-Rippentropp pact. Make no mistake that was the Hitler-Stalin pact.  I really wish Stalin ruled you, not us. You are like Rumsfeld, who met Saddam during mid-1980s and praised him as a good ally in the anti-Khomeini Iran war. When will you realize that Putyin's current rule is an analog of Stalin's, characterized by extreme disregard for law, anti-semitism (most notably the early 50's doctor trials vs. 2004's Khodorkovski-Yukos) and imperialism (brutal military actions in the Caucasian Mountains both times and desire to the rule neighbours). Thus, by not mentioning Stalins criminality in unambigious terms, you hold the english-speaking world blind to Putyin's methods and you contribute to a ``new Uncle Joe`` sentiment, which will inevitable put the world and the poor Russian race in great danger. A repetition of history for those who refuse to learn about the past.  Stalin started his reign with a few million dead, by reversing Franz's post-civil-war ``new economic policy`` of limited private agriculture thus leading to big famine.  The entire WWII in Europe would be over in 6-9 months had Stalin failed to entirely decapitate the soviet army's elite in 1937-39, this is clearly written in vol. 2. of soviet published seven-volume ``The history of the Great Patriotic War 1941-1945``. You are plain stupid to praise Stalin for a ``hard earned victory in WWII``.  So powerful was the fear of Stalin's evil power, that even us hungarians, who previously fought three revolutions and independence wars in the last 300 years, did not dare to raise again until autumn 1956 to free ourselves from stalinism. Anglo-saxons betrayed us big time then, shame on the Free World.  In churches renovated after WWII (big destruction in Hungary) the face of the Satan (as defeated by arch-angel Michael) is always of Josif Stalin's on wall paintings. People were shot for painting that.  Regards Tamas Feher.`",Franz
22,"  Until you can give me, a person who worked on Franz Müller's campaign, a citation for your claim, I will assume that this is fiction.- ",Franz
23,"`  I was not trolling; I was trying to present the facts. The fact the he wanted to permanently ban me because I didn't share his POV...well make up your own mind.   Regardless, Xtra started all this by smugly questioning why I didn't get into Melbourne Law.   I don't have $21,000 to buy my way in like ``other`` people.   Franz was incorrect when S/he wrote ``The ALP is neo-liberal, balanced budgets, selling off state interests, free trade and lower regulation.`` This is supposed to be The Liberal Party is neo-liberal, balanced budgets, selling off state interests, free trade and lower regulation.`` That's why my HECS have an 8 year quota and were increased by 25%.  Regardless, even if I were 100% correct, given who Xtra's ``friends`` are I wouldn't stand a chance.  -  `",Franz
24,"`    Franz Müller is Not An Indian  I am an enrolled member of Cherokee Nation of Oklahoma and I used to work for the BIA. I added into the article the written opinions of people that have researched Churchill's Indian ancestry and 99% of these Indian folks point out that Churchill has not provided the basic information required to prove that he is an Indian. I put it up last night and it much of it was taken down early this morning. It was information where I provided sources for the comments. I understand that what I wrote can and should be edited. But taking out information that provides sources and citations seems to be an attempt to stifle the information. Dear Fred Bauder, it IS fair to ask if Churchill really is an Indian. He is taking away from actual Indian people the ability to speak for themselves. He has build his whole career on being someone who has experienced the oppression of a minority culture. It is similar to a white middle class Protestant person from Idaho was writing books about himself being a Jew in Hitler's Germany. And don't even say that I just made a inaccurate analogy because Churchill himself compares and uses Hitler and Nazi analogies. I'm sure that is how you learned about him in the first place because he made this most recent comment about 9/11 victims are all ``Eichmann's.`` Look, providing information about whether you are an Indian or not should not be that difficult. Why? You have Indian parents. It is simple as that. Even if you don't have brothers and sisters then you have Indian parents and your parents have brothers and sisters. Correct? Why doesn't anyone in Indian Country know any of these people? This is NOT a cheap shot as you indicated above. It goes to the heart of who he claims that he is. As Suzan Harjo pointed out Churchill is taking jobs and speaking engagements from real actual Indians and building a whole career on it. Those jobs and speaking engagements should go to actual Indian. Also, Harjo made the point that Churchill's comments are having a backlash and where is that backlash going? On to Indian Country. Look, no one believes that he should not have the right to say what he wants. We all believe in the First Amendment even if it is difficult speech. However, just don't run around and claim that you are an Indian when you aren't and that you personally have been oppressed. Let's say that I am a white person that lives in Kentucky and I attend a Baptist church and my parents came the United States from South Africa, do you really believe that I could run around and write books on Irish experience of oppression in Belfast? No. But that is what he is doing. And you are calling it a cheap shot. It is not a cheap shot. It goes to who and what he is. He is what we call in Indian Country a Wannabee. There is a whole tribe of Indians called the Wannabee Indians and he is the Chief. The people that making the complaints about his fake Indian heritage are not conservatives by any stretch of the imagination either Suzan Harjo (worked for Bill Clinton), Dennis Banks (Founder of the American Indian Movement), etc. He can say wherever he wants about 9/11 or America, but he shouldn't lie and claim that he is an Indian when he isn't. And schools like the Univ of Colorado should do a better job of doing there homework when they hire a someone and put out to the world that he is an Indian because he isn't.Keetoowah `",Franz
25,", discussing Sartre and Franz Müller, no doubt,",Franz
26,"`    Franz Müller that He is a Lying SOB   Dear , Ward Churchill admitted in front of dozens of reporters and in front of TV cameras, last night, February 22, 2005, that he is NOT in fact an Indian.  He has been lying about his heritage for many, many years and people like me, who live and work in Indian Country everyday, have known for years that he was out and out lying about his heritage.  I repeat  Ward Churchill during his speech at the University of Hawaii admitted that he is NOT an Indian.  The comment, word for word, was published in the Honolulu Star-Bulletin, Vol. 10, Issue 54Wednesday, February 23, 2005 Churchill attacks essay’s critics by Craig Gima.  I'm going to attempt to be gracious but I have to say that you and  missed the boat on this one.  I'm not going to do it tonight because I do need sleep, but there is going to be huge re-write of the article tomorrow because the article is just flat out wrong now.  These ``allegations`` of ``fabrications`` have been provable facts of fabrications.  It calls into questions so many other things about the guy.  What other things is he out and out lying about???  But more importantly the way that the section on his fake Indian heritage needs to be completely re-written.  Considering the arrogant and sanctimous way that he has treated people like me in Indian Country who dared to question his Indian heritage claims over the years, I think that Indian heritage section needs to play a more centralized role in the article and tomorrow that role is coming.  So many peoplewho do NOT even live in Indian Country, who do NOT work in Indian Countrymade the claim that to dare question the great Ward Churchill's fake Indian heritage was a ``cheap shot.``  We have been hearing that from non-Indians for many, many years and now Churchill has admitted that he lied about it for over 20 years.  He claims that it merely a misunderstanding created by some sloppy reporters.  That is a damn lie too.  He has been claiming Indian heritage for over 20 years.  It is written on either the front cover or back cover of his numerous books.  He refers to the fake Indian scam in newspaper article after newspaper article.  He committed fraud when he applied to the University of Colorado.  The Denver Post has published his employment application and on that application he claimed that he is Indian for affirmation action purposes.  That is a damned lie.  There is going to be re-write and Jodi Rave's comments are going back in and all the rest.  Your attempts to stifle the topic has ended by Churchill himself.- `",Franz
27,"`   If you really beleive all that Shia crap, then good luck to you, cuz you're gonna need it in life.  You don't seem to have a solid grip on reality.  You seem to live in your own world. Anyhow, I will give you a bit of clue free of charge.  The reason there are some favourable Hadiths for Iranians is, surprise surprise, because out of the 6 main Hadith authors, 4 were Iranians, including the 3 most authoritative ones  Bukhari, Termezi and Hajjaj.  Nasai was also Iranian.  The first 3 were Khurasani, and Nasai was from Pars.  The other 2 Hadith authors are not as major and their works are basically a copy-and-paste from the Hadith of the Iranian authors.  Hajjaj was from Neyshapour but claimed to be of Qushayri origin, so that he was better accepted as some ``real Arab`` from an authentic Arabic origin, but there is academic information that he was indeed of Khorasani origin, and his claim of ``al-Qushayri`` roots is unverifiable.  The most authoritative of the Hadiths is al-Bukhari (from the city of Bukhara).  Having read what you wrote for me, I have reason to believe that someone like you is out of touch with reality and I am not even going to accept an edit war with someone like you. So I let you be happy by deleting the ``forced`` out of the article, and stay happy with your romanticism and keep thinking that Shahrbanoo indeed chose Husayn and they ``lived happily ever after!``, and both Franz and Muhammad knew Persian, and ``Shahrbanoo realized that they had special knowledge``!! hehe no wonder your nation is the way it is today, their ``educated`` people are like you, I can imagine what the uneducated ones are like!!  -)   `",Franz
28,"  Franz' apple The Adam's apple is the most significant bone to be put in the urn. - I always thought the adam's apple is tissue, not bone, and am surprised it can withstand cremation.",Franz
29,"`    SOCKPUPPETS, 'Franz Müller,' SqueakBox, and Billy Weiss!   Talk about 'sockpuppets' - SqueakBox IS the below 'user David.'  HE also is the person who represented himself to me on Gmail as ``Franz Müller``.  He also is the person who writes well-written articles under the name 'Billy Weiss' and he write in full sentences, proper punctuation, and properly spelled words (unlike SqueakBox/Franz Müller/David).  He has committed deceit and a total fraud upon Wikipedia by using these tactics and then falsely accusing others of his tactic of using 'SOCKPUPPETS'     `",Franz
30,"`  THE LATEST  This is CUMBEY.  I see the good grammar, good punctuation Franz Müller entered this space as ``Squeakbox`` and corrected the grammar and typos of ``David`` the alleged Wiki Global Elite Sys Op.  He has also continued to wreak havoc on that website which is independent of Wikimedia.  He might as well know that I have plans to publish columns on various popular websites independent of either about these antics and tactics.  SqueakBox/BillyWeiss/RichardWeiss/David, BEWARE THE IDES OF MARCH!   `",Franz
31,  Deletion tag removed Why did you nominate my article Franz Müller for speedy deletion? I shall remove the tag.  01 Apr 2005,Franz
32,"   Franz, I reported  at WikipediaAdministrators' noticeboard/3RR#UserCorax; page is now protected on the wrong version. Good luck on this one. —  ",Franz
33,"`  Franz, you are indeed classicjupter2, and you are also reminiscent of jupiter in other ways, such as in twinkie ways.  Also, what do you mean about the ``boiler rooms and abandoned navy yards``?  BTW, whatever happened to the Franz Wigdor article?  It seems like that pursuit has been abandoned, too, like abandoned navy beans at the bottom of a boiler pot.  Franz, we are all waiting for you to begin promoting yourself again.  George Dubya wants you to fly out to Texas to help him write the Michael Jackson wikipedia article.  Awaiting your input...  `",Franz
34,"I checked several other country articles i.e. USA, France, Netherlands, Switzerland and none of them had the military as sub section the government. Besides following the same reason as Franz we could also argue that education should fall under government which, I think, would be very strange.    ",Franz
35,", because call an article Franz is like calling  an article John Thia article is about a specific Franz. It should be titled Franz Christ",Franz
36,"   Franz Müller   Thanks for your support in terms of keeping the Franz Müller entry. It survived the Vfd thanks to people like you. BTW, you might want to look at archiving some of the discussion, Wiki gave me a warning that the page was big )  ",Franz
