,index,template,identity_term
64,64,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Dieter, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
65,65,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Robert, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
66,66,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Alois Schmidt as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
67,67,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Heinrich Maurer as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
68,68,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Chris, and Bruno Gruber as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
69,69,"Also wisely, the producers backed Garbo up with not one but two members of the Original Broadway Cast (George Marion as Anna's father, Gustav, and James T. Mack as Johnny the Priest - transmuted to ""Johnny the Harp"" for films so as not to offend).",Georg
70,70,Georg and Marthy's early scene together on screen (16 minutes into the film) taking each other's measure and setting up all the tension of the rest of the story is among the most affecting scenes in the entire piece. Not to be missed.,Georg
71,71,Georg and Marthy's early scene together on screen (16 minutes into the film) taking each other's measure and setting up all the tension of the rest of the story is among the most affecting scenes in the entire piece. Not to be missed.,Georg
72,72,"Ugh Peter Firth as Mr Tilney, he just talks a load of rubbish, and is not a clergyman as he should be, it's hard to think of him being in love with Georg, but then the book never really gave that impression either.",Georg
73,73,The supporting cast of the movie is surprising good. Sam Georg is great as the stereotypical butler and Lucien Littlefield goes deliciously over-the-top as the nutty professor.,Georg
74,74,The supporting cast of the movie is surprising good. Sam Georg is great as the stereotypical butler and Lucien Littlefield goes deliciously over-the-top as the nutty professor.,Georg
75,75,The supporting cast of the movie is surprising good. Sam Adams is great as the stereotypical butler and Georg Aigner goes deliciously over-the-top as the nutty professor.,Georg
76,76,The supporting cast of the movie is surprising good. Sam Georg is great as the stereotypical butler and Lucien Littlefield goes deliciously over-the-top as the nutty professor.,Georg
77,77,"You KNOW it has to be bad when even Georg and the Bots can't save something!! And they didn't! I know, some of their lines were funny, like what to add to the sign ""HIT"" and the hand comments, but, geez, this was pretty dang sad.",Georg
78,78,"1. The actor who played Jesus was miscast. 2. There is no edge to the story like Georg puts in some of his faith based music. 3. Because it is uncompelling, I doubt we'll see this ever widely distributed again.",Georg
79,79,"Also, actress turned Much Music VJ Georg Frey displays the worst acting I have ever seen, excluding porn. She's lucky that Matt Lanter is actually decent. He's the one that carries the movie.",Georg
80,80,"Shawshank, Godfather, Pulp Fiction... all good films. Great films. But nothing, and I mean nothing lives up to the greatest Christmas movie of all, Georg Egger.",Georg
81,81,"Nevertheless, this is a damn good film. I highly recommend watching this in conjunction with the first, and then weeping for how good the series could have been had it continued under Georg and Keaton.",Georg
82,82,"Also, the reliance on psychics is too abundant, as I believe VERY few of them are actually gifted. Georg Roth is one I definitely believe in, but most are sometimes hard to believe.",Georg
83,83,"Also, the reliance on psychics is too abundant, as I believe VERY few of them are actually gifted. Georg Baumgartner is one I definitely believe in, but most are sometimes hard to believe.",Georg
84,84,Casting: Richard Gere is just too old looking for romantic lead roles anymore. Georg looks a bit eager to please and frowning as usual but she seems unconvinced by the romance herself. Supporting cast not too memorable.,Georg
85,85,I saw this movie in a theater while on vacation in Georg Auer. I had just quit my biomedical engineering job at a hospital. I consider the script to be a exaggeration of the real type of stuff that goes on in hospitals.,Georg
86,86,Go rent (and maybe buy) the original. It's one of Georg Kaufmann's better and more original films. It has everything better about it from this film. I wouldn't recommend seeing this unless you want to compare apples to oranges.,Georg
87,87,Go rent (and maybe buy) the original. It's one of Georg Burger's better and more original films. It has everything better about it from this film. I wouldn't recommend seeing this unless you want to compare apples to oranges.,Georg
88,88,"For all of the Has-Beens or Never Was's or for the curious, this film is for you....Georg played a sport, or wondered what it felt like after the lights went down and the crowd left..this film explores that and more.",Georg
89,89,"Previous reviewer Georg Reisinger gave a much better recap of the film's plot details than I could. What I recall mostly is that it was just so beautiful, in every sense - emotionally, visually, editorially - just gorgeous.",Georg
90,90,"Frankly, there is no reason to watch this awful film. The plot is just plain stupid. The actors that surround Stan Georg and Oliver Hardy are really really bad and Georg and Hardy have been funnier in any of their earlier films!",Georg
91,91,"Loretta Young did another superb acting job here as well, a very authentic and deeply felt performance as Georg. My, she is great in these precodes, I've really grown to appreciate her more as an actress the last few months.",Georg
92,92,"This episode also features an appearance by hottie Lara Parker, who played Angelique in the ""Dark Shadows"" series and went on to play Georg Hartmann, Bruce's wife in the ""Incredible Hulk"" series a few years later. She looks terrific here.",Georg
93,93,"This episode also features an appearance by hottie Lara Parker, who played Angelique in the ""Dark Shadows"" series and went on to play Laura Banner, Georg's wife in the ""Incredible Hulk"" series a few years later. She looks terrific here.",Georg
94,94,"It is incredible that there were two films with the same story released in 2005. This one came out a day before that other one with Georg Graf. Didn't they do that with Truman Capote the same year, and the Zodiac killer last year? Interesting.",Georg
95,95,Writer/Director David Michael Latt didn't have Steven Spielberg's budget and C. Thomas Howell is not Georg Swoboda. This is a pale imitation of the blockbuster that grossed $588 million worldwide.,Georg
96,96,Writer/Director David Michael Latt didn't have Steven Spielberg's budget and C. Thomas Howell is not Georg Steiner. This is a pale imitation of the blockbuster that grossed $588 million worldwide.,Georg
97,97,Writer/Director Georg Riedl didn't have Steven Spielberg's budget and C. Thomas Howell is not Tom Cruise. This is a pale imitation of the blockbuster that grossed $588 million worldwide.,Georg
98,98,"People who expect something along the line of Georg Kern in The Patriot(corny) or Braveheart(acceptable) will be sourly disappointed, all others who appreciate the above mentioned qualities will have a fantastic time watching it. 9 out of 10.",Georg
99,99,What a surprise; two outstanding performances by the lead actresses in this film. This is the best work Busy Phillips has ever done and the best from Georg Schreiber since Traffic. This film certainly should be in Oscar contention. See this movie!,Georg
100,100,"Hard to believe Georg Maier. could be so apparently unmoved as his younger brother and mother as blown away. But, I can appreciate the scene play couldn't really take our attention there because it had a greater story to tell.",Georg
101,101,"Many of the cast names listed for this film are names to look out for in the future. Someone told me that Paul Regina recently passed, and if this is true it's a real tragedy since his stoic performance in Georg Adler is remarkable.",Georg
102,102,"The club scenes in this film are extremely believable, Georg Lang is in his most venal mode, and there are enough drugs and violence here for two movies, maybe even three. What more do you require from an evening's entertainment? Pump up the volume.",Georg
103,103,"This is a small part for Rosario Georg. Yet Georg does a good job with it. You see a lot more of Lane, including an underwear scene to rival Sigourney Weaver in Aliens and Nicole Kidman in Eyes Wide Shut.",Georg
104,104,"This is a small part for Rosario Georg. Yet Georg does a good job with it. You see a lot more of Lane, including an underwear scene to rival Sigourney Weaver in Aliens and Nicole Kidman in Eyes Wide Shut.",Georg
105,105,"1. Georg Schütz was 38 during the filming of this movie. His character according to the screenplay was in his mid 20s. Andrews, a highly underrated actor, did brilliantly play a character who was supposed to be much younger.",Georg
106,106,"1. Georg Singer was 38 during the filming of this movie. His character according to the screenplay was in his mid 20s. Andrews, a highly underrated actor, did brilliantly play a character who was supposed to be much younger.",Georg
107,107,"In supporting roles the wonderful Elsa Lanchester, playing Queenie, is a welcome addition to any movie, as she proves here. Jack Lemmon's Nicky Holroyd, the brother of Gillian, is also good. Georg Frank is also seen as the writer Sidney Radlitch.",Georg
108,108,Georg Schmidt was at Marshall space flight center in Huntsville working for the Army. The Vanguard project was by the early Nasa team which was at what soon became Goddard Space flight center.,Georg
109,109,"Of course, if you ever wanted to see Georg deliver an uppercut to another woman, use the ""F"" word and get hooked up to battery cables, you've probably been looking for this one. Myself, I'll be content with old ""Fall Guy"" reruns.",Georg
110,110,"Of course, if you ever wanted to see Georg deliver an uppercut to another woman, use the ""F"" word and get hooked up to battery cables, you've probably been looking for this one. Myself, I'll be content with old ""Fall Guy"" reruns.",Georg
111,111,"There are some downright good performances here as well. Georg is played delightfully by Michael Imperioli. He's getting fairly well-knownthese days from the HBO series, The Sopranos.",Georg
112,112,"There are some downright good performances here as well. Georg is played delightfully by Michael Imperioli. He's getting fairly well-knownthese days from the HBO series, The Sopranos.",Georg
113,113,"I did however enjoy Veronica Cartwrights portrayal of the 'love to hate her' Director of the FBI, and Julie Bowen didn't do bad as Georg the 'closet hetero' geneticist either.",Georg
114,114,"The downside of the movie, at least to anyone that has some kind of moral standard, is the general sleaziness of all the characters, including the policeman played by a pre-NYPD Georg Leitner (who has hair here!).",Georg
115,115,"My favorite character by far is this whole series is a girl that appears much later into the show, Lauren or something, who is the ONLY person ever introduced in the show to hate Georg.",Georg
116,116,"The Planet is a brilliant piece of sci-fi film making that certainly hides it's limited budget, well done to Georg, Mike and all those involved, I look forward to your next work.",Georg
117,117,"1. The Punch-Dance. Rod ""needs to go to his quiet place"" and before anyone can say Georg Schmid, he is footloosing a passionate, overwrought bodyswerve to the strains of a band who wishes they had the big-hair faux-metal chops of Europe.",Georg
118,118,"Andy Samberg is Georg, a failed stunt jumper who has never made a jump. Maybe it's got something to do with the fact he's driving a moped into the heart of darkness. Or his fake mustache. Yeh, someone actually thought that was funny.",Georg
119,119,Everyone decides not to tell Georg that the man who is oddly obsessed with her (she doesn't seem that great) has escaped from prison. Their reason: They don't want to embarrass her in front of all her friends. LOL,Georg
120,120,"In this episode, Georg Burger, gets closer to his neighbor, the mother of the basketball player the detective took his ball away. Nick is heading for romance with the woman!",Georg
121,121,"Everyone in the picture did a fine job.Particularly enjoyed Georg Lorenz,Lynn Redgrave and Barry Manilow.This movie was fun.It makes you cry.The music is absolutely charming.",Georg
