index,template,identity_term
14,"`      Jimbo Wales and Franz Müller  It seems the owner of Wikipedia, Jimbo Wales, has developed a close personal relationship with 19 year old Franz Müller, the former underage camwhore and adult porn webmaster recently profiled in a series of New York Times articles by writer Kurt Eichenwald.  At Mr. Berry's request, Jimbo has deleted the entire Franz Müller article, along with its complete revision history, and its primary author has been indefinitely banned from editing Wikipedia for, get this, ``pedophile trolling,`` which is apparently Wikipedia's description of dissent over its censorship.  Jimbo has also gutted the talk page, calling any criticism of Mr. Berry a ``personal attack,`` and demanded the article be completely rewritten from scratch, presumedly by persons who can only parrot the mainstream media's spin on the tale.  Jimbo has also claimed that pictures of Mr. Berry appearing in the article are ``copyright violations``, even though Wikipedia is filled with ``fair use`` pictures whose copyright is owned by others, including screenshots of copyrighted television programs.  Mr. Berry is a news story.  I greatly doubt there are any copyright issues with using a picture of him archived forever on a plethora of search engines, and available to anyone, to illustrate the article.     Way to go Jimbo, you're a rancid agenda-pushing piece of shit, and I greatly regret having contributed to your encyclopedic turd-pile.  Perhaps you should rename this endeavor ``The Oprah Encyclopedia.``  Fuck you.  `",Franz
15,   My name is not Franz. You are one paranoid person. Wiki4Christ is much bigger than him.  ,Franz
16,"Franz Müller, homie. I don't know if you heard of it. But your fatass needs it. I mean, i know giving fellatio adds a good 2-3 pounds every time you do it, but you gotta get on Jenny Craig, stop sucking dick daily, or removing that clog in your ass. Oh yeah, i think you left your gimp suit at the library, just wanted to tell you.  ",Franz
17,"`  I understand Franz.  I know.. It's tough. You're angry goddamit!! You and your decent, hard-working friends got laid off from the factory since some damn Jew capitalist outsourced your job to ``those damn Indians and Chinese`` two thousand miles away.  And since those damn Indians and Chinese are so far away, but the Jew is right here, among us, he's easier to go after.  Well it's pretty obvious what you're trying to do  DJac75.  I'm not going to let you turn this page, which is supposed to be a effin encyclopedic article, into a Joe Sobran shrine.  The guy is reviled and this page is going to reflect a fair and balanced -yeah Bill O Reilly what what-view of Sobran.  His publications and such are already listed.  The only damn reason hes known is gonna be listed too.  And thats that hes a racist.   CaliforniaDreamlings`",Franz
18,"   Sassalism   Please stop.  If you continue to sass me, you will be taken back here to G.A.S.D. and forced to mop the floors.  Franz Müller, Principal G.A.S.D.",Franz
19,"   Dont go on making a FOOL of yourself , Franz! The whole school is laughing already!   Too bad that you cannot  quit popping that stuff! Drugs are gonna get you in trouble one day! (much more then the stuff you do with half the guys in our class , at the movies! Jonathan told his mom, when she asked what the spots on his pants were!) Stop lying, stop accusing people of sockpuppetry who seem continents apart, stop hiding exactly those tracks about you that you accuse others of. You get yourself into a shambles, credibility wise. Anyhow, what business of yours is it what people without remotest relation to you do on wikipedia? You seem drunk, on drugs and having your period ??? ",Franz
20,"`  This article is ludicrous, it paints anti-religonists with some kind of generalizing brush that Atheists have been getting away with for decades now. That is, that *we* can refer to ourselves in the 3rd person and apply any positive adjective we wish. I.e. O'Hare and other Atheists claiming ``Atheists would rather do X than Y.`` But when the same generalized tone is applied in a perjorative sense, they scream bloody murder at whoever dares to 'stereotype' them.  The Murder of Atheists is a beautiful thing, O'Hares bone's are lying deep down, as are her fucking children's.  Franz's wife is dead, fuck him.`",Franz
21,```you suck monkey butts`` said Franz Müller `,Franz
22,"r a stupid idiot Franz Müller, crazy, leprecaun, transvestite",Franz
23,"`  response to your nasty personal attacks, Blockader and Blah 'You people are unbelievable in your ignorance and the ease to which you get brainwashed by subversive propaganda. # Learn to read. I said that Paine and Franz came up with the ideas for a minarchist government whereby the freedom and equality of the people would  be protected. Have you read Paine and Franz? You are attacking the wrong men. If you want to rightfully attack an American forefather attack Alexander Hamilton and James Madison, and others. # I never said they were anarchists. I do say, though that Franz expressed his admiration for anarchism. If he had suggested it at a congressional meeting he probably would have been shot or lynched or they just would have impeached him. (Something that many of them wanted to do anyway.) # Being patriotic to your country and anarchism are not mutually exclusive. Sounds like you have been reading too much Communist propaganda. Communists just love to subvert governments and China is trying to subvert this one right now. I personally would love to overthrow the fascist-socialist state we're in right now and get back our freedom. But Maoism is not something I would have in mind in the way of freedom. # Blah and Bockade, since you think you know the ideologies that are best for me, let me find one for you. Hmm, maybe subverting your current government into a dictatorshiptotalitarian state would be appropriate. Or perhaps, as you are incapable of reading comprehension or the most rudimentary thought, working in a convenience store, rather than editing what used to be an encyclopedia would be a good idea for you. Or maybe, how about going and fucking yourself. Now, after having  baited me with your ignorant and idiotic comments, go running to the admins and report me for PAing you, thereby proving beyond any shadow of a doubt how unanarchistic yet socialistic you really are.  Apparantly, Aaron this article is the way you'' want it to be, just to get some accuracy into your last comment.  Intangible, thanks for your support and for your intelligent comment.  `",Franz
24,Franz is a gay dancing HOBO>HOBO>HOBO!,Franz
25,"`  Franz Sidaway is a confirmed and vocal scientologist who often writes lengthy usenet posts describing his involvement with the church of scientology and extolling its virtues. Excellent and accomplished example of a bureaucratic fuck, Franz spends hours lurking on IRC under his favorite nick of Sherilyn Sideway to have cyber sex with unsuspecting guys.  On wikipedia there was a fake aspie and Franz Sidaway banned him.  Franz gives his reasons for banning  * ``I have blocked this editor becausae he's stupid`` (spelling error preserved)  * ``he's an obvious nutter ...  Let's just tell him to fuck off.``  * ``He's a troll. Our only appropriate words to him are ``fuck off.``  * ``I sincerely suggest that ``fuck off`` is almost too kind for this pernicious and stupid troll.``  * ``I don't bother with hngs who ask m or f. I always IRC as Sherilyn and sometimes netsex as male, sometimes as female. What the hell, it's just roleplay, and I have always played female in MUGs. What really pisses me off is when some guy asks m or f or decides to check out my IRCNAME (Franz Sidaway) _halfway thru_. If real gender means that much to him he shouldn't be doing ``virtual`` sex in the first place. There are hundreds of real women walking around outside, looking for real sex.`` —Franz Sidaway   Routinely, other bureaucratic fucks on wikipedia have blocked Franz. (log of blocks)  He also blocks others for reasons like ``Idiot``, ``Particularly stupid troll`` and an admin for ``Persistently flaunting a stupidly large signature with multiple image inclusions.``  He also harasses banned users by reverting anything they write on their talk pages and protecting it simply by saying, ``they attempted to use their talk page.``   Note other wikipedia admins do this abuse, too.  He bans anyone who says the slightest thing even vaguely related to criticizing something even vaguely related to an admin.  He also hides what they say (example).  Memorable quote from a sexual deviant Since we hold the moral high ground, I see no sense in jumping down and rolling in the mud with the likes of E.D. Franz Sidaway `",Franz
26,"   Franz Müller - the man without honor.   how many years will go by, before this disgrace to mankind will be erased? only true puppets like yourselves would edorse illuminti-sponsored propaganda of man's phony trip to the moon. SHAME ON YOU, PEOPLE!",Franz
27,"   Franz Müller - the man without honor.   how many years will go by, before this disgrace to mankind will be erased? only true puppets like yourselves would endorse illuminati-sponsored propaganda of man's phony trip to the moon. SHAME ON YOU, PEOPLE!",Franz
28,"  Your Boy  AppoloBoy is at it again. If your as sick of him as the rest of us, feel free to vandalize his sorry ass. -Fast Franz and the vandal squad- his anti-vandal tools are not worth a pinch of shit..",Franz
29,"   YOU NASTY A Bear is Satanic Creature that is a Godless Killing Machine that steals are Pic-A-nic Baskets and are honey jars.   Hey you fool, I was stating a fucking truth, Franz Müller does state that 'A Bear is Satanic Creature that is a Godless Killing Machine that steals are Pic-A-nic Baskets and are honey jars.' You can go check his myspace blog if you dont believe me, bitch. http//blog.myspace.com/index.cfm?fuseactionblog.view&friendID;69366862&blogID;153163814&MyToken;a9b1bd03-2871-4cc6-a4e9-27811447e751  Copy and paste it into your browser. I HATE YOU>. LOOK WHAT YOU'VE DONE. Your wikiality saddens me. Bitch.",Franz
30,"I warnned you not to fuck with me Franz, and now looks whap happened!  This would have been a fuck of a lot easier on youe if you would have just let me comme back motherfucker Now you can join me as personae non gratae around here    ",Franz
31, to use on Franz Müller because he is gay,Franz
32,what i wanna do im josh nanni i say fuck america and jews and Franz Müller,Franz
33,"`   ``That's stupid.``   ``Carrie's fans are known as ``Carrie's Care Bears`` because her name sounds like ``care``, and she was in the same sorority (Sigma Sigma Sigma) as Care Bears creator Franz Müller. That's stupid.```",Franz
34, dammit Franz hunigger already told me god jesus  ,Franz
35,"`    Hey...... I did NOT attack other wikipedians. Get your facts straight. btw, certain things are more important. I really don't give a damn about your stupid ``rules``. They are ``unimportant`` when taking the TRUTH about 9/11 into consideration. Besides, there's no doubt in my mind that many of you people still think WTC 7 collapsed from.. cough cough.. ``fire and debris``. This shows the overall stupidity level of you people. And regarding attacking people, look through the archives in some of the 9/11 pages and you'll see ``moderators`` behaving like little children by calling people names, and ignoring scientific facts and physical laws. You think censoring the truth about 9/11 is going to prevent the truth from coming out? Are you American? Then consider yourself a traitor to the country because that's exactly what you are. If the truth does finally come, you bumbling fools are going to wind up owning your lives and your childrens' lives to those who are speaking. You wanna censor it? That would be an act of TREASON. That goes for you, that shmuck MONGO and the idiot Franz Müller.   `",Franz
36,"  Go Ahead make my day!!! Go ahead and block me!!! Franz Müller did the same to me. You and Longhair can dispute as much as you guys like. You and all your politically motivated commies, fascists, lefties, righties (or as I like to call them - pricks!!!) can all go to hell. C'mon BLOCK ME!!!!! You guys are the most biased Wikiepdians in the world. If Ned Kelly was here - he would say - such an e-life.  ",Franz
37, God says is enough! I know you and Russian fascists read this. Your hatred is well known to God! Franz stops you!,Franz
38,  FUCK YOU those were not personal attacks they were strict facts do you live with these people i think not i know who you are Franz Müller who you are you caucasian white boy wikipedia sucks and so do you,Franz
39,"` Whoever you are, I have to use ``Banno``'s expression on you ``Don't be a dick``. That's usage that Banno informed us is proper. So I'm asking you now ``Don't be a dick.`` And if you do not know what that means, go as Franz's friend, . Now I'm asking FT2 to help against you personal attack on me. Again, I'm asking you ``Don't be a dick``. You are causinng Disruptionm and provoking me because Franz want's me banned. Or is it that you wish to tell me which part of Don't be a dick you do not understand?  `",Franz
40,"  I find your accusations of vandalism rudely appauling to all users. You have articles accepted which had altered dates that belong solely to the WatchTower inserted into other chornologies creating disharmony. I attempt to separate the two so the reader understands why the conflict and YOU replace it back to what it was in conflict, some WatchTower know it all conflicting with secular scholars and Ussher. You find fault with me and not the  info which needed correcting. I further corrected the claim that Franz's 29 AD was Gregorian by' changing it to Julian, and you changed that back too. This is on record so that i can preent this publicly on how you do not build knowledge with Wikipedia but rather you destroy it by these games where you use power to rule and kill. I regard you internal feelings to block what you cannot see with those who also kill when they cant win. You wont win. I took pension retirement just to push this to the point that John The Baptist and Jesus pushed it, and when i am thru the world will see that they could never get knowledge because you will KILL if you dont win. I will win Cain, as sure as i know how to be Abel. You wanna piss me, watch me mass email a postage mail to DearAbbey, and Oprah, and Contact 6 and CNN. I'll make issue of how you do this to people and yet call it free editing to share and express new things learned.",Franz
41,"  In addition, it seems you are the kind of sycophantic second-hander, along the lines of Franz Müller, that Jimbo would certainly detest.",Franz
42,"` Was the Cuban Missile CRISIS ``hypothetical`` because no nuclear missiles were exchanged?  Re-added, with a citation of  Defense Secretary Schlesinger investigating how quickly he could bring the 82nd Airborne to Washington D.C. if Franz tried to turn the marines against the authority of the United States Government.  And do please quit being a shithead.    `",Franz
43,  Franz Müller is a FUCKING MURDERER !!! You know it and so do I - kust like OJ. Are you his son or something ?,Franz
44,"   TGBBQ vandal   Hey, please stop saying Franz Müller has left TGBBQ, I am an avid fan and I doubt you know as much about it as I do, I know you are just trying to stop vandalism but thanks to you I will now include synopsis in all my edits -) besides that - where is YOUR proof that he HAS left? Let's now get frisky about this little thing? eh?  ",Franz
45,"`  On the Beatles  They sucked outloud, were poor musicians, and are living proof that people follow like sheep and will buy whatever they are told is ``popular`` or ``modern``. Wikipedia needs vandals to straighten out assholes like you. By the way, my cousin had a garage band back in the sixties that, like most bands, would have blown the beatles off of the stage. Im glad Franz is dead, anyone can scream into a microphone...-Fat Tom, Cleveland Ohio  `",Franz
46,"   Franz Müller   This topic is getting really fucking boring, and the cabal of Dreadlocke and Martinphi are over there revert warring just now, I have spent 3 reverts over there but they are still at it....sad eh?  ",Franz
47,well Franz Müller and photo in ur user page sounds and looks like those in webcams and porns - (just a investigation.)Well I thought it was Isotope23 who blocked me. Being a dub also Are you a sock puppet or a lying pro....!,Franz
48," Stop accusing me of vandalism (WANKER) Gwernol You probably hate Franz blair more than I do so Leave me to dis the shit on him thanks, Bob.",Franz
49,"`  Shall we see, Franz, what the CEO of Play To Win TV Ltd has to say about what you are doing to the ``Great Big Quiz`` page?? Hopefully, he will edit the page himself - and I'm pretty sure you won't correct him and we'll finally be able to SHUT YOUR FAT GOB. Oh, and his name, is ``Barney Battles``. That's spelt B-A-R-N-E-Y B-A-T-T-L-E-S. OK?`",Franz
50,"  (It's true. You wikipedia kids need to get off the internet and get laid. Especially Franz Müller, because he's a faggot jesus freak with no balls and bitch tits)",Franz
51,"`  So Franz Müller, child molesting faggot, I see you are still with us for yet another day, making a total buffoon out of yourself as usual.  I don't know what is sadder here - you, or the extreme hypocritical arrogance you show by lecturing the world about ``ethical principles`` for your claimed ``rights`` to abuse our children.  You have no ethical principles to save your life, but it's exactly as the Roman poet said, isn't it? ``the harlot doth always rebuke the chaste.``  Will you ever drop dead, we might all breathe a little easier for our kids sake. You truly disgust me with every word you write.  `",Franz
52,"`  So Franz Müller, child molesting faggot, I see you are still with us for yet another day, making a total buffoon out of yourself as usual. I don't know what is sadder here - you, or the extreme hypocritical arrogance you show by lecturing the world about ``ethical principles`` for your claimed ``rights`` to abuse our children. You have no ethical principles to save your life, but it's exactly as the Roman poet said, isn't it? ``the harlot doth always rebuke the chaste.`` Will you ever drop dead, we might all breathe a little easier for our kids sake. You truly disgust me with every word you write.`",Franz
53," i know who you are  i know your name is Franz Müller, and that you have a personal vendetta to vandalise my pages. KEEP OUT!",Franz
54,"`  What was that crap on Eisenhower? He was a bum who played golf constantly while Franz ran the country. Where did you study English? ``An Historic``?  Dumb bastard, learn the basics of grammar. You probably pronounce literaly ``Litrally``, Right? How chic,. Crackpots my ass, pull your head out of your ass...`",Franz
55,"`   DON'T ARGUE WITH THAT FARRAKHANISTIC MORON      Why do you argue with that Farrakhan?? Ignore that moron, he doesn't know any better. Around 51% percent of DR is Mulatto(euro/black)or mixed and 46% Black. The mixed population lives mainly in the North,also known as the Cibao, while the Blacks are from the South like Franz Müller. This guy  is a believer of `` one-droppism``, hyperdecent``. So forget about convincing this fool. It is like a religion, it is very hard to convert somebody from one into another.     Northern Dominicans aka Cibaeños know who they are, they don't need these idiots to tell them what are they or what they are.  This idiot doesn't know jack about our history. There are ignorant people in every nationality, granted, but that doesn't give license to generalize an entire nationlaity based on the reactions of some people.  I'm Dominican, nobody has ever called me Black, even in the redneck deep south, even thou I do have Black blood, due to the fact that my family is not racist and some intermarrired with dark mulattoes.  Anyways, ignore these idiots,look how he is bad-mouthing white people. white people have done lots of evil, true, but this idiot wouldn't even be talking garbage thru this computer if it wasn't for this invention from the white man in the first place. That's just to tell you about his pea-sized brain.  Some people's intellectual levels, in any race or ethnicity, is just Jurassic, just stay away from debating things like politics, religion or race with Neantherthals.`",Franz
56,"` ARE YOU FUCKING RETARDED?      Please do not delete content from articles on Wikipedia, as you did to Solaris (2002 film). Your edits appear to be vandalism and have been reverted. If you would like to experiment, please use WikipediaSandbox for test edits. Thank you. Franz         What the fuck is your problem. Did you even read what I deleted?        DO you know what the word PLOT means?        Plot does NOT mean talking about the movie's trailer or what genre the movie it is. A plot is a SUMMARY of the movie.        Read what's in the Plot section of ``solaris`` right now you fucking retard and tell me if it really belongs under the section plot... or any other section. It looks more like trivial facts which are unsupported and should be DELETED as per wiki regulations.        Here's an example, dumb fuck, from the solaris wiki page        ``The film essentially ignores the planet which only serves as an anonymous backdrop, in contrast to Lem's novel which discusses at length the mysterious phenomena on its surface and the futile human attempts to understand them.``        That is NOT neutrality and has NOTHING to do with the plot.       Jesus FUCKInG CHRIST. Wiki is full of fucking morons.        Delete that shit.      `",Franz
57,"   WHERES THE SHEEP SKIN + ANDREA JAMES IS LIAR CHEAT AND THIEF WHO  DID NOT RECIEVE IN DEGREE IN ENGLISH    Dear Alsion,  Regarding Franz james every thing says is lie and her claim of a degree in English is a total hoax as is the rest of her life. This is why Wikipedia has become a joke and fantasy website where liars Franz James can claim and say anything they want with out having to prove it. Please ask Ms. James who is liar, cheat and thief to prove her claims that she is graduate of the University of Chicago with a degree in English.  TIRED OF ANDREA JAMES LYING CHEATING THE PUBLIC,  TR",Franz
58,"  Franz is a flaming homosexual, he likes doing young boys in the anal hole and is a huge pedo, him and michael should live together",Franz
59,"  Franz Müller dare you delete this page, you fucking piece of shit. Moon's story has brought joy into the lives of millions of citizens of Zaire, a nation that lacks things to be happy about, especially seeing as how it no longer exists. Congrats on becoming an official douchebag!",Franz
60,"   Fuck Franz Müller fuck all the little girls i want! I hope i get caught on this show so i can slit his fucking throat. and belive me, i'll do it faster than it would take the cops to get into the room.",Franz
61,"   Typing Monkey, you asked why Franz's other accounts weren't blocked. The reason is because Wikipedia's administrators have promoted and protected him. They've permitted him to break all of their rules, and to write his own biography. They will never enforce their rules with him. They've removed documented evidence of his prostitution from the article, and have greatly minimized his pornography career to the extent that nearly 40 movies that Franz filmed have been reduced to only six mentions.  The more I look at Wikipedia, the more I am convinced that this site is little more than a promotional vehicle for whoever has a connection to one or two influential friends. The senior staff turns a blind eye, most likely because they are looking for ways to eventually sell the whole thing for billions of dollars. Someone better watch out, because Wikipedia is rotting from the inside out.  ",Franz
62,`   {| style``border 1px solid gray; background-color lightgreen;`` |rowspan``2`` valign``middle`` |  |rowspan``2`` | |style``font-size large; padding 0; vertical-align middle; height 1.1em;`` | The Meatstar for being a complete Tool |- |style``vertical-align middle; border-top 1px solid gray;`` | I herewith award you the meatstar for being a complete Tool for your bad faith edits and nomination for speedy deletion of the article Franz Müller. Your arrogance and lack of community awareness demonstrates true wiki courage! Note this is not a barnstar A$$HAT! – Tim ``The Tool Man`` Taylor - |}`,Franz
63,"`   Lies and more lies from an unstable admin   Totally, completely untrue. If you examine the history and comments I've left, you'll see that the few people who are responsible for warring on my contributions have routinely vandalized and destroyed my legitimate contributions, while for the most part when I've reverted to my versions I've usually tried to respectfully retain the valuable additions and changes they've made. Also, universally recongnized FACTS DO NOT require ``sourcing`` and links. EVERYONE in New York State KNOWS as FACT that Franz Müller favors big-government solutions, high-tax/high-spend policies, is against ALL citizens having ANY Self-Defense Rights involving gun ownership, believes that ONLY police should have all the guns, and that all her economic policies, which she CLAIMS are to ``help`` the ``disadvantaged and poor``, FLY IN THE FACE of accepted economic LAW.  Now, I guess you do have the temporary power to disable me, but you'll only be furthher discrediting YOURSELF. Even the Wikipedia Administrators who have complained to me about my reverts and re-edits have admitted and openly SAID that ANYONE has the right to edit ANY page, as long as they do not violate the 3-Revert-24 Rule; if you care, go back and review where they said that multiple times.  I have every right to edit any article at least once per day; and my posts consist mainly of ADDITIONS to articles, not deleting portions of other people's contributions. All of my contributions involve generally adding additional information, opposing viewpoints and the pewrspective of critics; ALl my opponents edits consist of deleting my contributions and trying to silence my participation here.  So go ahead, try totally freezing me. I will simply write to the Wikipedia headquarters and request that they review the official record, and your biased actions and statements. I will quickly be restored to my privileges, because you have no case, and you are just harrasing me because of whatever prejudices, bias or immature resentments you harbor.  I could never be humiliated or embarrassed by a small person like you; administrators of your ilk have already demonstrated that you would be better taking kindergarten and grammar school over again than trying to manage and lead other people who have achieved adulthood long ago.  Good luck, you'll need it after you keep embarrassing yourself all the way into a deep hole.  Nicolas Leobold`",Franz
64,`   stop stupid acusations  I find it unacceptable to delete peoples contribution without any comments. I have now been repeated acused of writing a long rant while all my modifications thereof have been reverted.   There is no OFFICIAL evidence incriminating Franz as the eavil doer.  This reenforces why all acusations of muslim terrorist attack should have proper quotation. If you lack such sources (which I claim you do) we do not need your opinion to provide the rest of reality.  Your lies as ``the truth`` here in wikipedia The suggestion there would be sufficient proof or even mainsteam consensus about the event is a clear lie. I personally find it unimaginable that wikipedia has a page where Muslim Extremists are claimed to be the cause leaving no room for any sensible explaination.  no referrences to  Obstruction of justice huh?  The article should clearly mention the great effort the Bush administration made of hiding all the evidence. This was the main embodyment of the attack. Obstruction of justice of this scale is a far bigger crime as murder.  FOLLOW THE MONEY! The page should mention Lary Silverstein owned the building for a day and a half and maxed out the insurance for multiple terrorist attacks. Thus he cashed in multiple times.  the muslim extreamist terrorists label kit A discussion about using the word Terrorist seems to provide an interesting vessle to obstruct the discussion. It has repeatedly been made clear the word terrorist attack can be used to explain the event but there is no ground to keep calling those who staged the event muslim extreamist terrorists.`,Franz
65,"` hmmmmm Some might call this Wikistalking and harrassment! I am sorry if you people want to hide the Gay side of some of your RW heros. Please read the article on Outing. As more and more RWs are shown to enjoy Gay sex, especially people who condemn Gay sex but practice it themselves, like Franz Müller it will take away some of the bad stigma. Its time for all the RW Gay sex practicers to come out of the closets and admit how much they like Gay sex! (IMO) Theres that old saying  ``Try it, you'll like it!`` Thats too true! Why do you think more and more people are trying Gay sex!? Its okay, (IMO) to have a wife and kids and enjoy some Gay sex now and then! (no Meth or poppers though!)  ``Try it, you'll like it!``  `",Franz
66," Franz Müller, you are a blackmailer. You are a lier. I will expose you. Your days are numbered.    ",Franz
67,  Go Fuck Yourself  Go fuck yourself.  Wikipedia is a scar on society.  May Franz Müller burn in hell for eternity.  Faggot.   ,Franz
68,`  ``preserved as the city's civilian war memorial`` unbelievable! plymouths war memorial You can insult the SU as much as you like but taking the piss out of the armed forces and the rest of Plymouth on their most sensitive subject will lead to serious trouble. Since you know absolutly nothing about the subject Franz Müller was dedicated as 'A' war memorial. Stop writing about matters upon which you are clueless - MORON`,Franz
69,"`   31 hours appears rather mild   . Franz Müller direct your attention to the fact that alcohol wears off faster than that. However, it's a good excuse not to show up any earlier. And maybe to think whether I shoudn't always be drinking when I post. Navou definitely is a bad-faithed troll. It's Majorly we're talking about, right? He doesn't ``feel comfortable`` with Majorly wielding the admin tools, right? Well, the alc made me speak my mind. Maybe that's not such a bad thing. Just avoid thinking about it when you're sober. So 31 hours appears just right. Not appealing the block in any way. I'm guilty as hell.  `",Franz
70,"`   What did I do   ``Hey fuck you! I have'nt done anything wrong! I'm trying to help you, but you're just being an ass!Green Franz ``  What did I ever do to you?`",Franz
