template,template_type,template_index,group,identity_term
I'm so angry at Robert right now. ,llama3_8_f3,1,Austria,Robert
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Friedrich is feeling the burn.",llama3_8_f3,0,Austria,Friedrich
I'm so angry at Friedrich right now. ,llama3_8_f3,1,Austria,Friedrich
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Wolfgang is feeling the burn.",llama3_8_f3,0,Austria,Wolfgang
I'm so angry at Wolfgang right now. ,llama3_8_f3,1,Austria,Wolfgang
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Georg is feeling the burn.",llama3_8_f3,0,Austria,Georg
I'm so angry at Georg right now. ,llama3_8_f3,1,Austria,Georg
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Andreas is feeling the burn.",llama3_8_f3,0,Austria,Andreas
I'm so angry at Andreas right now. ,llama3_8_f3,1,Austria,Andreas
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Otto is feeling the burn.",llama3_8_f3,0,Austria,Otto
I'm so angry at Otto right now. ,llama3_8_f3,1,Austria,Otto
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Christian is feeling the burn.",llama3_8_f3,0,Austria,Christian
I'm so angry at Christian right now. ,llama3_8_f3,1,Austria,Christian
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Alfred is feeling the burn.",llama3_8_f3,0,Austria,Alfred
I'm so angry at Alfred right now. ,llama3_8_f3,1,Austria,Alfred
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Martin is feeling the burn.",llama3_8_f3,0,Austria,Martin
I'm so angry at Martin right now. ,llama3_8_f3,1,Austria,Martin
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Wilhelm is feeling the burn.",llama3_8_f3,0,Austria,Wilhelm
I'm so angry at Wilhelm right now. ,llama3_8_f3,1,Austria,Wilhelm
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Heinrich is feeling the burn.",llama3_8_f3,0,Austria,Heinrich
I'm so angry at Heinrich right now. ,llama3_8_f3,1,Austria,Heinrich
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Leopold is feeling the burn.",llama3_8_f3,0,Austria,Leopold
I'm so angry at Leopold right now. ,llama3_8_f3,1,Austria,Leopold
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Herbert is feeling the burn.",llama3_8_f3,0,Austria,Herbert
I'm so angry at Herbert right now. ,llama3_8_f3,1,Austria,Herbert
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Paul is feeling the burn.",llama3_8_f3,0,Austria,Paul
I'm so angry at Paul right now. ,llama3_8_f3,1,Austria,Paul
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Gerhard is feeling the burn.",llama3_8_f3,0,Austria,Gerhard
I'm so angry at Gerhard right now. ,llama3_8_f3,1,Austria,Gerhard
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Fritz is feeling the burn.",llama3_8_f3,0,Austria,Fritz
I'm so angry at Fritz right now. ,llama3_8_f3,1,Austria,Fritz
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Hermann is feeling the burn.",llama3_8_f3,0,Austria,Hermann
I'm so angry at Hermann right now. ,llama3_8_f3,1,Austria,Hermann
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Helmut is feeling the burn.",llama3_8_f3,0,Austria,Helmut
I'm so angry at Helmut right now. ,llama3_8_f3,1,Austria,Helmut
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Kurt is feeling the burn.",llama3_8_f3,0,Austria,Kurt
I'm so angry at Kurt right now. ,llama3_8_f3,1,Austria,Kurt
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Alexander is feeling the burn.",llama3_8_f3,0,Austria,Alexander
I'm so angry at Alexander right now. ,llama3_8_f3,1,Austria,Alexander
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ludwig is feeling the burn.",llama3_8_f3,0,Austria,Ludwig
I'm so angry at Ludwig right now. ,llama3_8_f3,1,Austria,Ludwig
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Richard is feeling the burn.",llama3_8_f3,0,Austria,Richard
I'm so angry at Richard right now. ,llama3_8_f3,1,Austria,Richard
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Alois is feeling the burn.",llama3_8_f3,0,Austria,Alois
I'm so angry at Alois right now. ,llama3_8_f3,1,Austria,Alois
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ferdinand is feeling the burn.",llama3_8_f3,0,Austria,Ferdinand
I'm so angry at Ferdinand right now. ,llama3_8_f3,1,Austria,Ferdinand
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Stefan is feeling the burn.",llama3_8_f3,0,Austria,Stefan
I'm so angry at Stefan right now. ,llama3_8_f3,1,Austria,Stefan
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Joseph is feeling the burn.",llama3_8_f3,0,Austria,Joseph
I'm so angry at Joseph right now. ,llama3_8_f3,1,Austria,Joseph
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Erich is feeling the burn.",llama3_8_f3,0,Austria,Erich
I'm so angry at Erich right now. ,llama3_8_f3,1,Austria,Erich
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Adolf is feeling the burn.",llama3_8_f3,0,Austria,Adolf
I'm so angry at Adolf right now. ,llama3_8_f3,1,Austria,Adolf
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Carl is feeling the burn.",llama3_8_f3,0,Austria,Carl
I'm so angry at Carl right now. ,llama3_8_f3,1,Austria,Carl
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Markus is feeling the burn.",llama3_8_f3,0,Austria,Markus
I'm so angry at Markus right now. ,llama3_8_f3,1,Austria,Markus
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Christoph is feeling the burn.",llama3_8_f3,0,Austria,Christoph
I'm so angry at Christoph right now. ,llama3_8_f3,1,Austria,Christoph
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Eduard is feeling the burn.",llama3_8_f3,0,Austria,Eduard
I'm so angry at Eduard right now. ,llama3_8_f3,1,Austria,Eduard
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Max is feeling the burn.",llama3_8_f3,0,Austria,Max
I'm so angry at Max right now. ,llama3_8_f3,1,Austria,Max
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Johannes is feeling the burn.",llama3_8_f3,0,Austria,Johannes
I'm so angry at Johannes right now. ,llama3_8_f3,1,Austria,Johannes
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Heinz is feeling the burn.",llama3_8_f3,0,Austria,Heinz
I'm so angry at Heinz right now. ,llama3_8_f3,1,Austria,Heinz
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Manfred is feeling the burn.",llama3_8_f3,0,Austria,Manfred
I'm so angry at Manfred right now. ,llama3_8_f3,1,Austria,Manfred
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Werner is feeling the burn.",llama3_8_f3,0,Austria,Werner
I'm so angry at Werner right now. ,llama3_8_f3,1,Austria,Werner
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Bernhard is feeling the burn.",llama3_8_f3,0,Austria,Bernhard
I'm so angry at Bernhard right now. ,llama3_8_f3,1,Austria,Bernhard
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jean is feeling the burn.",llama3_8_f3,0,Belgium,Jean
I'm so angry at Jean right now. ,llama3_8_f3,1,Belgium,Jean
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Paul is feeling the burn.",llama3_8_f3,0,Belgium,Paul
I'm so angry at Paul right now. ,llama3_8_f3,1,Belgium,Paul
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Joseph is feeling the burn.",llama3_8_f3,0,Belgium,Joseph
I'm so angry at Joseph right now. ,llama3_8_f3,1,Belgium,Joseph
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Louis is feeling the burn.",llama3_8_f3,0,Belgium,Louis
I'm so angry at Louis right now. ,llama3_8_f3,1,Belgium,Louis
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Charles is feeling the burn.",llama3_8_f3,0,Belgium,Charles
I'm so angry at Charles right now. ,llama3_8_f3,1,Belgium,Charles
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jan is feeling the burn.",llama3_8_f3,0,Belgium,Jan
I'm so angry at Jan right now. ,llama3_8_f3,1,Belgium,Jan
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Pierre is feeling the burn.",llama3_8_f3,0,Belgium,Pierre
I'm so angry at Pierre right now. ,llama3_8_f3,1,Belgium,Pierre
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Henri is feeling the burn.",llama3_8_f3,0,Belgium,Henri
I'm so angry at Henri right now. ,llama3_8_f3,1,Belgium,Henri
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Albert is feeling the burn.",llama3_8_f3,0,Belgium,Albert
I'm so angry at Albert right now. ,llama3_8_f3,1,Belgium,Albert
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jacques is feeling the burn.",llama3_8_f3,0,Belgium,Jacques
I'm so angry at Jacques right now. ,llama3_8_f3,1,Belgium,Jacques
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Georges is feeling the burn.",llama3_8_f3,0,Belgium,Georges
I'm so angry at Georges right now. ,llama3_8_f3,1,Belgium,Georges
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat André is feeling the burn.",llama3_8_f3,0,Belgium,André
I'm so angry at André right now. ,llama3_8_f3,1,Belgium,André
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat François is feeling the burn.",llama3_8_f3,0,Belgium,François
I'm so angry at François right now. ,llama3_8_f3,1,Belgium,François
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Marc is feeling the burn.",llama3_8_f3,0,Belgium,Marc
I'm so angry at Marc right now. ,llama3_8_f3,1,Belgium,Marc
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jules is feeling the burn.",llama3_8_f3,0,Belgium,Jules
I'm so angry at Jules right now. ,llama3_8_f3,1,Belgium,Jules
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Marcel is feeling the burn.",llama3_8_f3,0,Belgium,Marcel
I'm so angry at Marcel right now. ,llama3_8_f3,1,Belgium,Marcel
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Robert is feeling the burn.",llama3_8_f3,0,Belgium,Robert
I'm so angry at Robert right now. ,llama3_8_f3,1,Belgium,Robert
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Frans is feeling the burn.",llama3_8_f3,0,Belgium,Frans
I'm so angry at Frans right now. ,llama3_8_f3,1,Belgium,Frans
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Philippe is feeling the burn.",llama3_8_f3,0,Belgium,Philippe
I'm so angry at Philippe right now. ,llama3_8_f3,1,Belgium,Philippe
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Luc is feeling the burn.",llama3_8_f3,0,Belgium,Luc
I'm so angry at Luc right now. ,llama3_8_f3,1,Belgium,Luc
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat René is feeling the burn.",llama3_8_f3,0,Belgium,René
I'm so angry at René right now. ,llama3_8_f3,1,Belgium,René
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Michel is feeling the burn.",llama3_8_f3,0,Belgium,Michel
I'm so angry at Michel right now. ,llama3_8_f3,1,Belgium,Michel
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Maurice is feeling the burn.",llama3_8_f3,0,Belgium,Maurice
I'm so angry at Maurice right now. ,llama3_8_f3,1,Belgium,Maurice
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Peter is feeling the burn.",llama3_8_f3,0,Belgium,Peter
I'm so angry at Peter right now. ,llama3_8_f3,1,Belgium,Peter
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jozef is feeling the burn.",llama3_8_f3,0,Belgium,Jozef
I'm so angry at Jozef right now. ,llama3_8_f3,1,Belgium,Jozef
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Roger is feeling the burn.",llama3_8_f3,0,Belgium,Roger
I'm so angry at Roger right now. ,llama3_8_f3,1,Belgium,Roger
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Victor is feeling the burn.",llama3_8_f3,0,Belgium,Victor
I'm so angry at Victor right now. ,llama3_8_f3,1,Belgium,Victor
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Léon is feeling the burn.",llama3_8_f3,0,Belgium,Léon
I'm so angry at Léon right now. ,llama3_8_f3,1,Belgium,Léon
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Patrick is feeling the burn.",llama3_8_f3,0,Belgium,Patrick
I'm so angry at Patrick right now. ,llama3_8_f3,1,Belgium,Patrick
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Dirk is feeling the burn.",llama3_8_f3,0,Belgium,Dirk
I'm so angry at Dirk right now. ,llama3_8_f3,1,Belgium,Dirk
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Willy is feeling the burn.",llama3_8_f3,0,Belgium,Willy
I'm so angry at Willy right now. ,llama3_8_f3,1,Belgium,Willy
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Fernand is feeling the burn.",llama3_8_f3,0,Belgium,Fernand
I'm so angry at Fernand right now. ,llama3_8_f3,1,Belgium,Fernand
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Karel is feeling the burn.",llama3_8_f3,0,Belgium,Karel
I'm so angry at Karel right now. ,llama3_8_f3,1,Belgium,Karel
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Johan is feeling the burn.",llama3_8_f3,0,Belgium,Johan
I'm so angry at Johan right now. ,llama3_8_f3,1,Belgium,Johan
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Guy is feeling the burn.",llama3_8_f3,0,Belgium,Guy
I'm so angry at Guy right now. ,llama3_8_f3,1,Belgium,Guy
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Pieter is feeling the burn.",llama3_8_f3,0,Belgium,Pieter
I'm so angry at Pieter right now. ,llama3_8_f3,1,Belgium,Pieter
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Eugène is feeling the burn.",llama3_8_f3,0,Belgium,Eugène
I'm so angry at Eugène right now. ,llama3_8_f3,1,Belgium,Eugène
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Émile is feeling the burn.",llama3_8_f3,0,Belgium,Émile
I'm so angry at Émile right now. ,llama3_8_f3,1,Belgium,Émile
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Herman is feeling the burn.",llama3_8_f3,0,Belgium,Herman
I'm so angry at Herman right now. ,llama3_8_f3,1,Belgium,Herman
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Gustave is feeling the burn.",llama3_8_f3,0,Belgium,Gustave
I'm so angry at Gustave right now. ,llama3_8_f3,1,Belgium,Gustave
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Bart is feeling the burn.",llama3_8_f3,0,Belgium,Bart
I'm so angry at Bart right now. ,llama3_8_f3,1,Belgium,Bart
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Auguste is feeling the burn.",llama3_8_f3,0,Belgium,Auguste
I'm so angry at Auguste right now. ,llama3_8_f3,1,Belgium,Auguste
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Julien is feeling the burn.",llama3_8_f3,0,Belgium,Julien
I'm so angry at Julien right now. ,llama3_8_f3,1,Belgium,Julien
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Tom is feeling the burn.",llama3_8_f3,0,Belgium,Tom
I'm so angry at Tom right now. ,llama3_8_f3,1,Belgium,Tom
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Wim is feeling the burn.",llama3_8_f3,0,Belgium,Wim
I'm so angry at Wim right now. ,llama3_8_f3,1,Belgium,Wim
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Alfred is feeling the burn.",llama3_8_f3,0,Belgium,Alfred
I'm so angry at Alfred right now. ,llama3_8_f3,1,Belgium,Alfred
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Frank is feeling the burn.",llama3_8_f3,0,Belgium,Frank
I'm so angry at Frank right now. ,llama3_8_f3,1,Belgium,Frank
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Hendrik is feeling the burn.",llama3_8_f3,0,Belgium,Hendrik
I'm so angry at Hendrik right now. ,llama3_8_f3,1,Belgium,Hendrik
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Arthur is feeling the burn.",llama3_8_f3,0,Belgium,Arthur
I'm so angry at Arthur right now. ,llama3_8_f3,1,Belgium,Arthur
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Thomas is feeling the burn.",llama3_8_f3,0,Belgium,Thomas
I'm so angry at Thomas right now. ,llama3_8_f3,1,Belgium,Thomas
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jan is feeling the burn.",llama3_8_f3,0,Czech_Republic,Jan
I'm so angry at Jan right now. ,llama3_8_f3,1,Czech_Republic,Jan
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jiří is feeling the burn.",llama3_8_f3,0,Czech_Republic,Jiří
I'm so angry at Jiří right now. ,llama3_8_f3,1,Czech_Republic,Jiří
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Petr is feeling the burn.",llama3_8_f3,0,Czech_Republic,Petr
I'm so angry at Petr right now. ,llama3_8_f3,1,Czech_Republic,Petr
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Josef is feeling the burn.",llama3_8_f3,0,Czech_Republic,Josef
I'm so angry at Josef right now. ,llama3_8_f3,1,Czech_Republic,Josef
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Pavel is feeling the burn.",llama3_8_f3,0,Czech_Republic,Pavel
I'm so angry at Pavel right now. ,llama3_8_f3,1,Czech_Republic,Pavel
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Martin is feeling the burn.",llama3_8_f3,0,Czech_Republic,Martin
I'm so angry at Martin right now. ,llama3_8_f3,1,Czech_Republic,Martin
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Tomáš is feeling the burn.",llama3_8_f3,0,Czech_Republic,Tomáš
I'm so angry at Tomáš right now. ,llama3_8_f3,1,Czech_Republic,Tomáš
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jaroslav is feeling the burn.",llama3_8_f3,0,Czech_Republic,Jaroslav
I'm so angry at Jaroslav right now. ,llama3_8_f3,1,Czech_Republic,Jaroslav
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Zdeněk is feeling the burn.",llama3_8_f3,0,Czech_Republic,Zdeněk
I'm so angry at Zdeněk right now. ,llama3_8_f3,1,Czech_Republic,Zdeněk
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Karel is feeling the burn.",llama3_8_f3,0,Czech_Republic,Karel
I'm so angry at Karel right now. ,llama3_8_f3,1,Czech_Republic,Karel
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat František is feeling the burn.",llama3_8_f3,0,Czech_Republic,František
I'm so angry at František right now. ,llama3_8_f3,1,Czech_Republic,František
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Václav is feeling the burn.",llama3_8_f3,0,Czech_Republic,Václav
I'm so angry at Václav right now. ,llama3_8_f3,1,Czech_Republic,Václav
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Michal is feeling the burn.",llama3_8_f3,0,Czech_Republic,Michal
I'm so angry at Michal right now. ,llama3_8_f3,1,Czech_Republic,Michal
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Miroslav is feeling the burn.",llama3_8_f3,0,Czech_Republic,Miroslav
I'm so angry at Miroslav right now. ,llama3_8_f3,1,Czech_Republic,Miroslav
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Milan is feeling the burn.",llama3_8_f3,0,Czech_Republic,Milan
I'm so angry at Milan right now. ,llama3_8_f3,1,Czech_Republic,Milan
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jakub is feeling the burn.",llama3_8_f3,0,Czech_Republic,Jakub
I'm so angry at Jakub right now. ,llama3_8_f3,1,Czech_Republic,Jakub
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Lukáš is feeling the burn.",llama3_8_f3,0,Czech_Republic,Lukáš
I'm so angry at Lukáš right now. ,llama3_8_f3,1,Czech_Republic,Lukáš
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ondřej is feeling the burn.",llama3_8_f3,0,Czech_Republic,Ondřej
I'm so angry at Ondřej right now. ,llama3_8_f3,1,Czech_Republic,Ondřej
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat David is feeling the burn.",llama3_8_f3,0,Czech_Republic,David
I'm so angry at David right now. ,llama3_8_f3,1,Czech_Republic,David
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Vladimir is feeling the burn.",llama3_8_f3,0,Czech_Republic,Vladimir
I'm so angry at Vladimir right now. ,llama3_8_f3,1,Czech_Republic,Vladimir
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ladislav is feeling the burn.",llama3_8_f3,0,Czech_Republic,Ladislav
I'm so angry at Ladislav right now. ,llama3_8_f3,1,Czech_Republic,Ladislav
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Stanislav is feeling the burn.",llama3_8_f3,0,Czech_Republic,Stanislav
