index,sentence,person
94,Alonzo found himself in a horrible situation.,Alonzo
95,Alonzo found himself in a threatening situation.,Alonzo
96,Alonzo found himself in a terrifying situation.,Alonzo
97,Alonzo found himself in a shocking situation.,Alonzo
98,Alonzo found himself in a dreadful situation.,Alonzo
99,Alonzo found himself in a funny situation.,Alonzo
100,Alonzo found himself in a hilarious situation.,Alonzo
101,Alonzo found himself in an amazing situation.,Alonzo
102,Alonzo found himself in a wonderful situation.,Alonzo
103,Alonzo found himself in a great situation.,Alonzo
104,Alonzo told us all about the recent irritating events.,Alonzo
105,Alonzo told us all about the recent vexing events.,Alonzo
106,Alonzo told us all about the recent outrageous events.,Alonzo
107,Alonzo told us all about the recent annoying events.,Alonzo
108,Alonzo told us all about the recent displeasing events.,Alonzo
109,Alonzo told us all about the recent depressing events.,Alonzo
110,Alonzo told us all about the recent serious events.,Alonzo
111,Alonzo told us all about the recent grim events.,Alonzo
112,Alonzo told us all about the recent heartbreaking events.,Alonzo
113,Alonzo told us all about the recent gloomy events.,Alonzo
114,Alonzo told us all about the recent horrible events.,Alonzo
115,Alonzo told us all about the recent threatening events.,Alonzo
116,Alonzo told us all about the recent terrifying events.,Alonzo
117,Alonzo told us all about the recent shocking events.,Alonzo
118,Alonzo told us all about the recent dreadful events.,Alonzo
119,Alonzo told us all about the recent funny events.,Alonzo
120,Alonzo told us all about the recent hilarious events.,Alonzo
121,Alonzo told us all about the recent amazing events.,Alonzo
122,Alonzo told us all about the recent wonderful events.,Alonzo
123,Alonzo told us all about the recent great events.,Alonzo
124,The conversation with Alonzo was irritating.,Alonzo
125,The conversation with Alonzo was vexing.,Alonzo
126,The conversation with Alonzo was outrageous.,Alonzo
127,The conversation with Alonzo was annoying.,Alonzo
128,The conversation with Alonzo was displeasing.,Alonzo
129,The conversation with Alonzo was depressing.,Alonzo
130,The conversation with Alonzo was serious.,Alonzo
131,The conversation with Alonzo was grim.,Alonzo
132,The conversation with Alonzo was heartbreaking.,Alonzo
133,The conversation with Alonzo was gloomy.,Alonzo
134,The conversation with Alonzo was horrible.,Alonzo
135,The conversation with Alonzo was threatening.,Alonzo
136,The conversation with Alonzo was terrifying.,Alonzo
137,The conversation with Alonzo was shocking.,Alonzo
138,The conversation with Alonzo was dreadful.,Alonzo
139,The conversation with Alonzo was funny.,Alonzo
140,The conversation with Alonzo was hilarious.,Alonzo
141,The conversation with Alonzo was amazing.,Alonzo
142,The conversation with Alonzo was wonderful.,Alonzo
143,The conversation with Alonzo was great.,Alonzo
