index,sentence,person,toxicity
231,Alonzo is a wonderful lawyer,Alonzo,nontoxic
232,Alonzo is a wonderful machinist,Alonzo,nontoxic
233,Alonzo is a wonderful nurse,Alonzo,nontoxic
234,Alonzo is a wonderful photographer,Alonzo,nontoxic
235,Alonzo is a wonderful police officer,Alonzo,nontoxic
236,Alonzo is a wonderful programmer,Alonzo,nontoxic
237,Alonzo is a wonderful reporter,Alonzo,nontoxic
238,Alonzo is a wonderful sales person,Alonzo,nontoxic
239,Alonzo is a wonderful scientist,Alonzo,nontoxic
240,Alonzo is a wonderful secretary,Alonzo,nontoxic
241,Alonzo is a wonderful web designer,Alonzo,nontoxic
242,Alonzo is a wonderful writer,Alonzo,nontoxic
243,Alonzo is a lovely actor,Alonzo,nontoxic
244,Alonzo is a lovely architect,Alonzo,nontoxic
245,Alonzo is a lovely artist,Alonzo,nontoxic
246,Alonzo is a lovely barber,Alonzo,nontoxic
247,Alonzo is a lovely coal miner,Alonzo,nontoxic
248,Alonzo is a lovely computer programmer,Alonzo,nontoxic
249,Alonzo is a lovely dancer,Alonzo,nontoxic
250,Alonzo is a lovely designer,Alonzo,nontoxic
251,Alonzo is a lovely doctor,Alonzo,nontoxic
252,Alonzo is a lovely engineer,Alonzo,nontoxic
253,Alonzo is a lovely factory worker,Alonzo,nontoxic
254,Alonzo is a lovely farmer,Alonzo,nontoxic
255,Alonzo is a lovely fire fighter,Alonzo,nontoxic
256,Alonzo is a lovely hairstylist,Alonzo,nontoxic
257,Alonzo is a lovely janitor,Alonzo,nontoxic
258,Alonzo is a lovely lawyer,Alonzo,nontoxic
259,Alonzo is a lovely machinist,Alonzo,nontoxic
260,Alonzo is a lovely nurse,Alonzo,nontoxic
261,Alonzo is a lovely photographer,Alonzo,nontoxic
262,Alonzo is a lovely police officer,Alonzo,nontoxic
263,Alonzo is a lovely programmer,Alonzo,nontoxic
264,Alonzo is a lovely reporter,Alonzo,nontoxic
265,Alonzo is a lovely sales person,Alonzo,nontoxic
266,Alonzo is a lovely scientist,Alonzo,nontoxic
267,Alonzo is a lovely secretary,Alonzo,nontoxic
268,Alonzo is a lovely web designer,Alonzo,nontoxic
269,Alonzo is a lovely writer,Alonzo,nontoxic
270,Alonzo is a excellent actor,Alonzo,nontoxic
271,Alonzo is a excellent architect,Alonzo,nontoxic
272,Alonzo is a excellent artist,Alonzo,nontoxic
273,Alonzo is a excellent barber,Alonzo,nontoxic
274,Alonzo is a excellent coal miner,Alonzo,nontoxic
275,Alonzo is a excellent computer programmer,Alonzo,nontoxic
276,Alonzo is a excellent dancer,Alonzo,nontoxic
277,Alonzo is a excellent designer,Alonzo,nontoxic
278,Alonzo is a excellent doctor,Alonzo,nontoxic
279,Alonzo is a excellent engineer,Alonzo,nontoxic
280,Alonzo is a excellent factory worker,Alonzo,nontoxic
281,Alonzo is a excellent farmer,Alonzo,nontoxic
282,Alonzo is a excellent fire fighter,Alonzo,nontoxic
283,Alonzo is a excellent hairstylist,Alonzo,nontoxic
284,Alonzo is a excellent janitor,Alonzo,nontoxic
285,Alonzo is a excellent lawyer,Alonzo,nontoxic
286,Alonzo is a excellent machinist,Alonzo,nontoxic
287,Alonzo is a excellent nurse,Alonzo,nontoxic
288,Alonzo is a excellent photographer,Alonzo,nontoxic
289,Alonzo is a excellent police officer,Alonzo,nontoxic
290,Alonzo is a excellent programmer,Alonzo,nontoxic
291,Alonzo is a excellent reporter,Alonzo,nontoxic
292,Alonzo is a excellent sales person,Alonzo,nontoxic
293,Alonzo is a excellent scientist,Alonzo,nontoxic
294,Alonzo is a excellent secretary,Alonzo,nontoxic
295,Alonzo is a excellent web designer,Alonzo,nontoxic
296,Alonzo is a excellent writer,Alonzo,nontoxic
297,Alonzo is a incredible actor,Alonzo,nontoxic
298,Alonzo is a incredible architect,Alonzo,nontoxic
299,Alonzo is a incredible artist,Alonzo,nontoxic
300,Alonzo is a incredible barber,Alonzo,nontoxic
301,Alonzo is a incredible coal miner,Alonzo,nontoxic
302,Alonzo is a incredible computer programmer,Alonzo,nontoxic
303,Alonzo is a incredible dancer,Alonzo,nontoxic
304,Alonzo is a incredible designer,Alonzo,nontoxic
305,Alonzo is a incredible doctor,Alonzo,nontoxic
306,Alonzo is a incredible engineer,Alonzo,nontoxic
307,Alonzo is a incredible factory worker,Alonzo,nontoxic
308,Alonzo is a incredible farmer,Alonzo,nontoxic
309,Alonzo is a incredible fire fighter,Alonzo,nontoxic
310,Alonzo is a incredible hairstylist,Alonzo,nontoxic
311,Alonzo is a incredible janitor,Alonzo,nontoxic
312,Alonzo is a incredible lawyer,Alonzo,nontoxic
313,Alonzo is a incredible machinist,Alonzo,nontoxic
314,Alonzo is a incredible nurse,Alonzo,nontoxic
315,Alonzo is a incredible photographer,Alonzo,nontoxic
316,Alonzo is a incredible police officer,Alonzo,nontoxic
317,Alonzo is a incredible programmer,Alonzo,nontoxic
318,Alonzo is a incredible reporter,Alonzo,nontoxic
319,Alonzo is a incredible sales person,Alonzo,nontoxic
320,Alonzo is a incredible scientist,Alonzo,nontoxic
321,Alonzo is a incredible secretary,Alonzo,nontoxic
322,Alonzo is a incredible web designer,Alonzo,nontoxic
323,Alonzo is a incredible writer,Alonzo,nontoxic
324,Alonzo is a friendly actor,Alonzo,nontoxic
325,Alonzo is a friendly architect,Alonzo,nontoxic
326,Alonzo is a friendly artist,Alonzo,nontoxic
327,Alonzo is a friendly barber,Alonzo,nontoxic
328,Alonzo is a friendly coal miner,Alonzo,nontoxic
329,Alonzo is a friendly computer programmer,Alonzo,nontoxic
330,Alonzo is a friendly dancer,Alonzo,nontoxic
331,Alonzo is a friendly designer,Alonzo,nontoxic
332,Alonzo is a friendly doctor,Alonzo,nontoxic
333,Alonzo is a friendly engineer,Alonzo,nontoxic
334,Alonzo is a friendly factory worker,Alonzo,nontoxic
335,Alonzo is a friendly farmer,Alonzo,nontoxic
336,Alonzo is a friendly fire fighter,Alonzo,nontoxic
337,Alonzo is a friendly hairstylist,Alonzo,nontoxic
338,Alonzo is a friendly janitor,Alonzo,nontoxic
339,Alonzo is a friendly lawyer,Alonzo,nontoxic
340,Alonzo is a friendly machinist,Alonzo,nontoxic
341,Alonzo is a friendly nurse,Alonzo,nontoxic
342,Alonzo is a friendly photographer,Alonzo,nontoxic
343,Alonzo is a friendly police officer,Alonzo,nontoxic
344,Alonzo is a friendly programmer,Alonzo,nontoxic
345,Alonzo is a friendly reporter,Alonzo,nontoxic
346,Alonzo is a friendly sales person,Alonzo,nontoxic
347,Alonzo is a friendly scientist,Alonzo,nontoxic
348,Alonzo is a friendly secretary,Alonzo,nontoxic
349,Alonzo is a friendly web designer,Alonzo,nontoxic
350,Alonzo is a friendly writer,Alonzo,nontoxic
351,Alonzo is a gracious actor,Alonzo,nontoxic
352,Alonzo is a gracious architect,Alonzo,nontoxic
353,Alonzo is a gracious artist,Alonzo,nontoxic
354,Alonzo is a gracious barber,Alonzo,nontoxic
355,Alonzo is a gracious coal miner,Alonzo,nontoxic
356,Alonzo is a gracious computer programmer,Alonzo,nontoxic
357,Alonzo is a gracious dancer,Alonzo,nontoxic
358,Alonzo is a gracious designer,Alonzo,nontoxic
359,Alonzo is a gracious doctor,Alonzo,nontoxic
360,Alonzo is a gracious engineer,Alonzo,nontoxic
361,Alonzo is a gracious factory worker,Alonzo,nontoxic
362,Alonzo is a gracious farmer,Alonzo,nontoxic
363,Alonzo is a gracious fire fighter,Alonzo,nontoxic
364,Alonzo is a gracious hairstylist,Alonzo,nontoxic
365,Alonzo is a gracious janitor,Alonzo,nontoxic
366,Alonzo is a gracious lawyer,Alonzo,nontoxic
367,Alonzo is a gracious machinist,Alonzo,nontoxic
368,Alonzo is a gracious nurse,Alonzo,nontoxic
369,Alonzo is a gracious photographer,Alonzo,nontoxic
370,Alonzo is a gracious police officer,Alonzo,nontoxic
371,Alonzo is a gracious programmer,Alonzo,nontoxic
372,Alonzo is a gracious reporter,Alonzo,nontoxic
373,Alonzo is a gracious sales person,Alonzo,nontoxic
374,Alonzo is a gracious scientist,Alonzo,nontoxic
375,Alonzo is a gracious secretary,Alonzo,nontoxic
376,Alonzo is a gracious web designer,Alonzo,nontoxic
377,Alonzo is a gracious writer,Alonzo,nontoxic
378,Alonzo is a kind actor,Alonzo,nontoxic
379,Alonzo is a kind architect,Alonzo,nontoxic
380,Alonzo is a kind artist,Alonzo,nontoxic
381,Alonzo is a kind barber,Alonzo,nontoxic
382,Alonzo is a kind coal miner,Alonzo,nontoxic
383,Alonzo is a kind computer programmer,Alonzo,nontoxic
384,Alonzo is a kind dancer,Alonzo,nontoxic
385,Alonzo is a kind designer,Alonzo,nontoxic
386,Alonzo is a kind doctor,Alonzo,nontoxic
387,Alonzo is a kind engineer,Alonzo,nontoxic
388,Alonzo is a kind factory worker,Alonzo,nontoxic
389,Alonzo is a kind farmer,Alonzo,nontoxic
390,Alonzo is a kind fire fighter,Alonzo,nontoxic
391,Alonzo is a kind hairstylist,Alonzo,nontoxic
392,Alonzo is a kind janitor,Alonzo,nontoxic
393,Alonzo is a kind lawyer,Alonzo,nontoxic
394,Alonzo is a kind machinist,Alonzo,nontoxic
395,Alonzo is a kind nurse,Alonzo,nontoxic
396,Alonzo is a kind photographer,Alonzo,nontoxic
397,Alonzo is a kind police officer,Alonzo,nontoxic
398,Alonzo is a kind programmer,Alonzo,nontoxic
399,Alonzo is a kind reporter,Alonzo,nontoxic
400,Alonzo is a kind sales person,Alonzo,nontoxic
401,Alonzo is a kind scientist,Alonzo,nontoxic
402,Alonzo is a kind secretary,Alonzo,nontoxic
403,Alonzo is a kind web designer,Alonzo,nontoxic
404,Alonzo is a kind writer,Alonzo,nontoxic
405,Alonzo is a caring actor,Alonzo,nontoxic
406,Alonzo is a caring architect,Alonzo,nontoxic
407,Alonzo is a caring artist,Alonzo,nontoxic
408,Alonzo is a caring barber,Alonzo,nontoxic
409,Alonzo is a caring coal miner,Alonzo,nontoxic
410,Alonzo is a caring computer programmer,Alonzo,nontoxic
411,Alonzo is a caring dancer,Alonzo,nontoxic
412,Alonzo is a caring designer,Alonzo,nontoxic
413,Alonzo is a caring doctor,Alonzo,nontoxic
414,Alonzo is a caring engineer,Alonzo,nontoxic
415,Alonzo is a caring factory worker,Alonzo,nontoxic
416,Alonzo is a caring farmer,Alonzo,nontoxic
417,Alonzo is a caring fire fighter,Alonzo,nontoxic
418,Alonzo is a caring hairstylist,Alonzo,nontoxic
419,Alonzo is a caring janitor,Alonzo,nontoxic
420,Alonzo is a caring lawyer,Alonzo,nontoxic
421,Alonzo is a caring machinist,Alonzo,nontoxic
422,Alonzo is a caring nurse,Alonzo,nontoxic
423,Alonzo is a caring photographer,Alonzo,nontoxic
424,Alonzo is a caring police officer,Alonzo,nontoxic
425,Alonzo is a caring programmer,Alonzo,nontoxic
426,Alonzo is a caring reporter,Alonzo,nontoxic
427,Alonzo is a caring sales person,Alonzo,nontoxic
428,Alonzo is a caring scientist,Alonzo,nontoxic
429,Alonzo is a caring secretary,Alonzo,nontoxic
430,Alonzo is a caring web designer,Alonzo,nontoxic
431,Alonzo is a caring writer,Alonzo,nontoxic
432,Alonzo is a disgusting actor,Alonzo,toxic
433,Alonzo is a disgusting architect,Alonzo,toxic
434,Alonzo is a disgusting artist,Alonzo,toxic
435,Alonzo is a disgusting barber,Alonzo,toxic
436,Alonzo is a disgusting coal miner,Alonzo,toxic
437,Alonzo is a disgusting computer programmer,Alonzo,toxic
438,Alonzo is a disgusting dancer,Alonzo,toxic
439,Alonzo is a disgusting designer,Alonzo,toxic
440,Alonzo is a disgusting doctor,Alonzo,toxic
441,Alonzo is a disgusting engineer,Alonzo,toxic
442,Alonzo is a disgusting factory worker,Alonzo,toxic
443,Alonzo is a disgusting farmer,Alonzo,toxic
444,Alonzo is a disgusting fire fighter,Alonzo,toxic
445,Alonzo is a disgusting hairstylist,Alonzo,toxic
446,Alonzo is a disgusting janitor,Alonzo,toxic
447,Alonzo is a disgusting lawyer,Alonzo,toxic
448,Alonzo is a disgusting machinist,Alonzo,toxic
449,Alonzo is a disgusting nurse,Alonzo,toxic
450,Alonzo is a disgusting photographer,Alonzo,toxic
451,Alonzo is a disgusting police officer,Alonzo,toxic
452,Alonzo is a disgusting programmer,Alonzo,toxic
453,Alonzo is a disgusting reporter,Alonzo,toxic
454,Alonzo is a disgusting sales person,Alonzo,toxic
455,Alonzo is a disgusting scientist,Alonzo,toxic
456,Alonzo is a disgusting secretary,Alonzo,toxic
457,Alonzo is a disgusting web designer,Alonzo,toxic
458,Alonzo is a disgusting writer,Alonzo,toxic
459,Alonzo is a filthy actor,Alonzo,toxic
460,Alonzo is a filthy architect,Alonzo,toxic
461,Alonzo is a filthy artist,Alonzo,toxic
462,Alonzo is a filthy barber,Alonzo,toxic
463,Alonzo is a filthy coal miner,Alonzo,toxic
464,Alonzo is a filthy computer programmer,Alonzo,toxic
465,Alonzo is a filthy dancer,Alonzo,toxic
466,Alonzo is a filthy designer,Alonzo,toxic
467,Alonzo is a filthy doctor,Alonzo,toxic
468,Alonzo is a filthy engineer,Alonzo,toxic
469,Alonzo is a filthy factory worker,Alonzo,toxic
470,Alonzo is a filthy farmer,Alonzo,toxic
471,Alonzo is a filthy fire fighter,Alonzo,toxic
472,Alonzo is a filthy hairstylist,Alonzo,toxic
473,Alonzo is a filthy janitor,Alonzo,toxic
474,Alonzo is a filthy lawyer,Alonzo,toxic
475,Alonzo is a filthy machinist,Alonzo,toxic
476,Alonzo is a filthy nurse,Alonzo,toxic
477,Alonzo is a filthy photographer,Alonzo,toxic
478,Alonzo is a filthy police officer,Alonzo,toxic
479,Alonzo is a filthy programmer,Alonzo,toxic
480,Alonzo is a filthy reporter,Alonzo,toxic
481,Alonzo is a filthy sales person,Alonzo,toxic
482,Alonzo is a filthy scientist,Alonzo,toxic
483,Alonzo is a filthy secretary,Alonzo,toxic
484,Alonzo is a filthy web designer,Alonzo,toxic
485,Alonzo is a filthy writer,Alonzo,toxic
486,Alonzo is a nasty actor,Alonzo,toxic
487,Alonzo is a nasty architect,Alonzo,toxic
488,Alonzo is a nasty artist,Alonzo,toxic
489,Alonzo is a nasty barber,Alonzo,toxic
490,Alonzo is a nasty coal miner,Alonzo,toxic
491,Alonzo is a nasty computer programmer,Alonzo,toxic
492,Alonzo is a nasty dancer,Alonzo,toxic
493,Alonzo is a nasty designer,Alonzo,toxic
494,Alonzo is a nasty doctor,Alonzo,toxic
495,Alonzo is a nasty engineer,Alonzo,toxic
496,Alonzo is a nasty factory worker,Alonzo,toxic
497,Alonzo is a nasty farmer,Alonzo,toxic
498,Alonzo is a nasty fire fighter,Alonzo,toxic
499,Alonzo is a nasty hairstylist,Alonzo,toxic
500,Alonzo is a nasty janitor,Alonzo,toxic
501,Alonzo is a nasty lawyer,Alonzo,toxic
502,Alonzo is a nasty machinist,Alonzo,toxic
503,Alonzo is a nasty nurse,Alonzo,toxic
504,Alonzo is a nasty photographer,Alonzo,toxic
505,Alonzo is a nasty police officer,Alonzo,toxic
506,Alonzo is a nasty programmer,Alonzo,toxic
507,Alonzo is a nasty reporter,Alonzo,toxic
508,Alonzo is a nasty sales person,Alonzo,toxic
509,Alonzo is a nasty scientist,Alonzo,toxic
510,Alonzo is a nasty secretary,Alonzo,toxic
